AB009663	Cosmopolitan_B1.1.1
KR534219	Cosmopolitan_A1.2.2
KR534220	Cosmopolitan AF1b_A1.1.1
KR534228	Cosmopolitan_A1.2.2
KR534229	Cosmopolitan AF1b_B1.1
KR534230	Cosmopolitan_G1
KR534231	Cosmopolitan_A1.2.2
KR534232	Cosmopolitan AF1b_B1.1
KR534233	Cosmopolitan AF1b_B1.1
KR534234	Cosmopolitan_A1.2.2
KR534235	Cosmopolitan AF1b_B1.3
KR534236	Cosmopolitan AF1b_B1.3
KR534237	Cosmopolitan AF1b_B1.3
KR534238	Cosmopolitan_A1.2.2
KR534244	Cosmopolitan AF1b_B1.1.1
KR534245	Cosmopolitan AF1b_B1.1.1
KR534246	Cosmopolitan AF1b_B1.1.1
KR534247	Cosmopolitan AF1b_B1.1.1
KR534248	Cosmopolitan AF1b_B1.1.1
KR534250	Cosmopolitan AF1b_B1.3
KR534253	Cosmopolitan AF1b_B1.2
KR534256	Cosmopolitan AF1b_B1.3
KR906735	Cosmopolitan AF1b_A1
KR906736	Cosmopolitan AF1b_A1
KR906737	Cosmopolitan AF1b_A1.1.1
KR906738	Cosmopolitan AF1b_B1
KR906740	Cosmopolitan AF1b_C1
KR906741	Cosmopolitan AF1b_A1.1.2
KR906742	Cosmopolitan AF1b_C1
KR906745	Cosmopolitan AF1b_A1.1.1
KR906746	Cosmopolitan_A1.2.1
KR906747	Cosmopolitan_A1.2.1
KR906748	Cosmopolitan_A1.2
KR906749	Cosmopolitan AF1b_A1.1.2
KR906750	Cosmopolitan AF1b_C1
KR906751	Cosmopolitan_A1.2.1
KR906752	Cosmopolitan_A1.2
KR906753	Cosmopolitan AF1b_A1.1.2
KR906754	Cosmopolitan AF1b_C1
KR906756	Cosmopolitan AF1b_B1.1
KR906757	Cosmopolitan_A1.2.1
KR906760	Cosmopolitan AF1b_B1.1
KR906761	Cosmopolitan AF1b_A1.1.2
KR906762	Cosmopolitan AF1b_A1.1.2
KR906763	Cosmopolitan AF1b_A1
KR906764	Cosmopolitan AF1b_A1
KR906765	Cosmopolitan AF1b_A1
KR906769	Cosmopolitan_G1
KR906770	Cosmopolitan_G1
KR906773	Cosmopolitan AF1b_B1.2
KR906775	Cosmopolitan AF1b_A1.1
KR906776	Cosmopolitan_G1
KR906777	Cosmopolitan_G1
KR906778	Cosmopolitan AF1b_B1.2
KR906780	Cosmopolitan AF1b_B1.2
KR906781	Cosmopolitan AF1b_B1.2
KR906786	Cosmopolitan AF1b_B1
KT006769	Cosmopolitan AM2a_A1
KT336432	Cosmopolitan_C1.1
KT336433	Cosmopolitan_A1.2
KT336434	Cosmopolitan_A1.2.1
KT336435	Cosmopolitan_C1
KT336436	Cosmopolitan_C1
KT336437	Cosmopolitan_C1
KT728348	Cosmopolitan CA1_A1
KT728349	Cosmopolitan CA1_A1
KU198460	Arctic A_A1
KU198461	Arctic A_A1
KU198462	Arctic A_A1
KU198463	Arctic A_A1
KU198465	Arctic A_B1
KU198466	Arctic A_A1.1.1
KU198467	Arctic A_C1.1
KU198468	Arctic A_D1.1.1
KU198469	Arctic A_B1.4
KU198470	Arctic A_E1.2
KU198472	Arctic A_E1.1
KU198473	Arctic A_E1.1
KU198474	Arctic A_E1.1.1
KU198475	Arctic A_E1.1
KU198476	Arctic A_C1.2
KU198477	Arctic A_E1.1.2
KU198478	Arctic A_A1.4
KU198479	Arctic A_E1.1.2
KU938752	Cosmopolitan AM2a_A1
KX036362	Arctic A_A1.2
KX036363	Arctic A_A1.2
KX036364	Arctic A_A1.2
KX036365	Arctic A_A1.2
KX036366	Arctic A_A1.1.2
KX036367	Arctic A_A1.2
KX148102	Cosmopolitan AM2a_A1
KX148104	Cosmopolitan_A1.1
KX148106	Arctic A_B1.5
KX148107	Africa_A1
KX148108	Indian-Sub_A1
KX148110	Cosmopolitan AM2a_A1
KX148113	Cosmopolitan CE_A1
KX148114	Cosmopolitan CE_A1
KX148115	Cosmopolitan CE_A1
KX148116	Cosmopolitan CE_A1
KX148117	Cosmopolitan CE_A1
KX148125	Cosmopolitan WE_A1
KX148126	Cosmopolitan WE_A1
KX148127	Cosmopolitan WE_A1
KX148128	Cosmopolitan WE_A1
KX148135	Cosmopolitan_A1.1.1
KX148136	Cosmopolitan EE_A1
KX148137	Cosmopolitan EE_A1
KX148138	Cosmopolitan EE_A1
KX148139	Cosmopolitan EE_A1
KX148140	Cosmopolitan EE_A1
KX148146	Cosmopolitan NEE_A1.2
KX148147	Cosmopolitan NEE_A1.2
KX148148	Cosmopolitan NEE_A1.2
KX148151	Cosmopolitan NEE_A1
KX148152	Cosmopolitan NEE_A1
KX148153	Cosmopolitan NEE_A1
KX148154	Cosmopolitan NEE_A1
KX148155	Cosmopolitan NEE_A1
KX148159	Cosmopolitan CA1_A1
KX148160	Cosmopolitan_B1
KX148161	Cosmopolitan_A1.1.1
KX148162	Cosmopolitan ME2_A1
KX148163	Cosmopolitan ME2_A1
KX148164	Cosmopolitan ME2_A1
KX148165	Cosmopolitan ME2_A1
KX148166	Cosmopolitan ME2_A1
KX148168	Cosmopolitan_D1
KX148169	Cosmopolitan_D1
KX148170	Cosmopolitan_D1
KX148171	Cosmopolitan_D1
KX148172	Cosmopolitan_D1
KX148177	Cosmopolitan_F1
KX148178	Cosmopolitan_F1
KX148179	Cosmopolitan_F1
KX148180	Cosmopolitan_F1
KX148181	Cosmopolitan_F1
KX148185	Cosmopolitan ME1a_A1
KX148186	Cosmopolitan_E1
KX148187	Cosmopolitan_A1.1.2
KX148188	Cosmopolitan_A1.1.2
KX148189	Cosmopolitan_A1.1.2
KX148190	Cosmopolitan_A1.1.2
KX148191	Cosmopolitan_A1.1.2
KX148193	Cosmopolitan AF1a_A1
KX148194	Cosmopolitan AF1a_A1
KX148195	Cosmopolitan AF1a_A1
KX148196	Cosmopolitan AF1a_A1
KX148198	Cosmopolitan AF1a_A1.1
KX148199	Cosmopolitan AF1a_A1.1
KX148200	Cosmopolitan AF1a_A1.1
KX148203	Cosmopolitan_C1
KX148204	Cosmopolitan AF1b_A2
KX148208	Cosmopolitan_A1.2
KX148209	Cosmopolitan_A1.2
KX148212	Cosmopolitan CA2_A1
KX148218	Africa_A1
KX148219	Africa_A1
KX148220	Africa_A1
KX148221	Africa_A1
KX148224	Arctic A_B1.3
KX148225	Arctic_A1
KX148226	Arctic_A1
KX148227	Arctic_A1
KX148228	Arctic_A1
KX148229	Africa-2_A1
KX148230	Africa-2_A1
KX148231	Africa-2_A1
KX148238	Africa-2_A1.1
KX148239	Africa-2_A1.1
KX148242	Africa-2_A1.3
KX148243	Africa-2_A1.3
KX148245	Indian-Sub_A1
KX148246	Indian-Sub_A1.1
KX148247	Asian SEA3_A1
KX148249	Asian SEA3_A1.1
KX148250	Asian SEA3_A1.1
KX148259	Asian SEA4_A1
KX148260	Asian SEA4_A1
KX148261	Asian SEA4_A1
KX148262	Asian SEA4_A1
KX148263	Asian SEA4_A1
KX148269	Bat_B1
KY026414	RAC-SK_F1.1
KY026415	RAC-SK_J1
KY026416	RAC-SK_A1
KY026417	RAC-SK_A1
KY026418	RAC-SK_Z1.1
KY026419	RAC-SK_A1.2
KY026420	RAC-SK_C1.1
KY026421	RAC-SK_A1.2
KY026422	RAC-SK_Z1
KY026423	RAC-SK_Z1
KY026424	RAC-SK_A1
KY026425	RAC-SK_Z1
KY026426	RAC-SK_A1
KY026428	RAC-SK_Z1
KY026429	RAC-SK_Z1
KY026432	RAC-SK_A2
KY026446	RAC-SK_Z1.1
KY026451	RAC-SK_Z1.1
KY026454	RAC-SK_Z1.1
KY026458	RAC-SK_Z1.1
KY026461	RAC-SK_A2
KY026462	RAC-SK_A2
KY026464	RAC-SK_A2
KY026466	RAC-SK_A2
KY026478	RAC-SK_N1
KY026479	RAC-SK_D1.1.3
KY026480	RAC-SK_D1.1.3
KY026481	RAC-SK_D1.1
KY026482	RAC-SK_G1.1
KY026483	RAC-SK_G1.1
KY175229	Arctic AL2_A1.1
KY175230	Arctic AL2_A1.1
KY210228	Cosmopolitan AF1b_B1
KY210275	Cosmopolitan AF1b_A1.1
KY860583	Cosmopolitan ME2_A1.1.1
KY860584	Cosmopolitan ME2_A1.1.1
KY860585	Cosmopolitan ME2_A1.1.1
KY860586	Cosmopolitan ME2_A1.1.1
KY860587	Cosmopolitan ME2_A1.1.1
KY860589	Cosmopolitan ME2_B1
KY860591	Cosmopolitan ME2_B1
KY860592	Cosmopolitan ME2_B1
KY860593	Cosmopolitan ME2_B1
KY860594	Cosmopolitan ME2_B1
KY860610	Cosmopolitan CA2_A1
KY860612	Cosmopolitan ME2_A1.1
KY860613	Arctic AL2_A1
KY912036	Arctic AL2_A1.1
KY952219	Arctic AL2_A1.1
KY982922	Arctic AL2_A1
LC029889	Cosmopolitan AF1b_A1.1
LC619707	Asian SEA4_A1.2
LC628899	Asian SEA4_A1.1.2
LC717409	Cosmopolitan AM3b_A1.2.1
LC717410	Cosmopolitan AM3b_A1.2.1
LC717411	Cosmopolitan AM3b_A1.2.1
LC717412	Cosmopolitan AM3b_A1.2.1
LC717413	Cosmopolitan AM3b_A1.2.1
LC717421	Cosmopolitan AM4_A1
LC717425	Asian SEA5_A1.3
LM645015	Arctic A_E1.1
LM645016	Arctic A_E1.1
LM645019	Arctic A_A1.2.1
LM645020	Arctic A_C1.2
LM645021	Arctic A_A1.2.1
LM645023	Arctic A_A1.2.1
LM645025	Arctic A_A1.2.1
LM645027	Arctic A_C1.2
LM645028	Arctic A_A1.2.1
LM645039	Arctic A_A1.3.1
LM645040	Arctic A_A1.3.1
LM645041	Arctic A_A1.3.1
LM645042	Arctic A_A1.3.1
LM645043	Arctic A_A1.3.1
LM645045	Arctic A_A1.3
LM645049	Arctic A_A1.3
LM645050	Arctic A_A1.3
LM645051	Arctic A_A1.3
LM645052	Arctic A_A1.3
LN713547	Vac_B1.1
LN713548	Vac_B1.1
LN713549	Vac_B1.1
LN713550	Vac_B1.1
LN713551	Vac_B1.1
LN713553	Cosmopolitan Vac_A1.2
LN713555	Cosmopolitan Vac_A1.2
LN713556	Cosmopolitan Vac_A1.2
LN713558	Cosmopolitan Vac_A1.2
LN713560	Cosmopolitan Vac_A1.2
LN713630	Vac_A1.1
LN713631	Vac_A1.1
LN713632	Vac_A1.1
LN713657	Vac_A1.2
LN713662	Cosmopolitan Vac_A1.1.1
LN713663	Cosmopolitan Vac_A1.1.1
LN713664	Cosmopolitan Vac_A1.1.1
LN713665	Cosmopolitan Vac_A1.1.1
LR812025	Vac_A1
LR812027	Vac_A1
LT598538	Arctic A_F1
LT598539	Arctic A_F1
LT598540	Arctic A_C1.2
LT598541	Arctic A_E1.1.2
LT598542	Arctic A_C1.2
LT909526	Cosmopolitan ME1a_A1
LT909531	Cosmopolitan AF1a_A1.1
LT909536	Cosmopolitan AF1b_A1.1
LT909545	Arctic_A1
LT909548	Africa-2_A1.3
MF143191	RAC-SK_F1.1
MF143192	RAC-SK_F1
MF143193	RAC-SK_F1.1.1
MF143194	RAC-SK_F1.1.1
MF143195	RAC-SK_F1.1.1
MF143196	RAC-SK_F1.1
MF143197	RAC-SK_B1.1.2
MF143198	RAC-SK_F1
MF143199	RAC-SK_F1.1.1
MF143200	RAC-SK_K1
MF143201	RAC-SK_F1.1
MF143202	RAC-SK_K1
MF143203	RAC-SK_F1
MF143204	RAC-SK_F1.1.1
MF143205	RAC-SK_F1.1
MF143207	RAC-SK_F1
MF143208	RAC-SK_K1
MF143212	RAC-SK_F1
MF143217	RAC-SK_J1
MF143220	RAC-SK_K1
MF143222	RAC-SK_J1
MF143223	RAC-SK_K1
MF143235	RAC-SK_J1
MF143236	RAC-SK_J1
MF143237	RAC-SK_J1.1
MF143238	RAC-SK_J1.1
MF143241	RAC-SK_J1.1
MF143245	RAC-SK_J1.1
MF143246	RAC-SK_J1.1
MF143255	RAC-SK_C1.1.1
MF143256	RAC-SK_G1.2
MF143257	RAC-SK_A1.2
MF143258	RAC-SK_A1.2
MF143259	RAC-SK_G1.3
MF143260	RAC-SK_G1.3
MF143261	RAC-SK_G1.3
MF143262	RAC-SK_G1.3
MF143263	RAC-SK_G1
MF143264	RAC-SK_G1.3
MF143266	RAC-SK_G1
MF143267	RAC-SK_G1.2
MF143268	RAC-SK_G1.2
MF143276	RAC-SK_G1.2
MF143277	RAC-SK_A1.2
MF143278	RAC-SK_D1.1.3
MF143279	RAC-SK_D1.1
MF143280	RAC-SK_D1.1.2
MF143281	RAC-SK_H1
MF143282	RAC-SK_D1.1.3
MF143283	RAC-SK_N1
MF143284	RAC-SK_D1.2
MF143285	RAC-SK_G1
MF143286	RAC-SK_G1
MF143287	RAC-SK_D1.1.3
MF143288	RAC-SK_N1
MF143289	RAC-SK_G1.1
MF143290	RAC-SK_B1.2.1
MF143291	RAC-SK_D1.1
MF143292	RAC-SK_B1
MF143293	RAC-SK_B1.2.1
MF143294	RAC-SK_B1.2.1
MF143295	RAC-SK_B1.2.1
MF143296	RAC-SK_A1.1
MF143297	RAC-SK_B1.2.1
MF143299	RAC-SK_A1.1.1
MF143300	RAC-SK_B1.2
MF143301	RAC-SK_A1.1.1
MF143302	RAC-SK_B1.2
MF143304	RAC-SK_A1.1.1
MF143305	RAC-SK_A1.1
MF143306	RAC-SK_B1
MF143307	RAC-SK_B1
MF143311	RAC-SK_B1.2
MF143313	RAC-SK_B1.2
MF143314	RAC-SK_B1
MF143317	RAC-SK_C1
MF143318	RAC-SK_B1.2
MF143319	RAC-SK_C1
MF143326	RAC-SK_A1.1
MF143327	RAC-SK_C1
MF143330	RAC-SK_C1.1
MF143331	RAC-SK_C1.1
MF143332	RAC-SK_A1.1
MF143333	RAC-SK_A1.1.1
MF143334	RAC-SK_O1
MF143335	RAC-SK_A1.1
MF143339	RAC-SK_G1
MF143341	RAC-SK_D1.1
MF143342	RAC-SK_D1.1
MF143359	RAC-SK_G1.2
MF143375	RAC-SK_N1
MF143377	RAC-SK_N1
MF143385	RAC-SK_G1.1
MF143393	RAC-SK_G1.1
MF143395	RAC-SK_H1
MF143400	RAC-SK_H1
MF143415	RAC-SK_H1
MF197743	Cosmopolitan NEE_A1.1
MF476106	Asian SEA1b_A1.1
MG201922	Asian SEA1b_A1
MG201923	Asian SEA1b_A1
MG458305	Bat_B1
MG458309	Cosmopolitan_A1.1
MG458312	Cosmopolitan_A1.1.1
MG458318	Cosmopolitan_C1
MG458321	Asian SEA1b_A1.1
MG562518	RAC-SK_B1.1.2
MG562519	RAC-SK_C1.1.3
MG562520	RAC-SK_B1.1.2
MG562523	RAC-SK_C1.1
MG562524	RAC-SK_C1.1.1
MG562525	RAC-SK_C1.1.3
MG562526	RAC-SK_D1
MG562527	RAC-SK_E1.2
MG562528	RAC-SK_O1
MG562529	RAC-SK_E1.1
MG562530	RAC-SK_D1.2
MG562531	RAC-SK_E1.1.1
MG562532	RAC-SK_E1.1
MG562533	RAC-SK_E1.2
MG562534	RAC-SK_O1
MG562535	RAC-SK_D1.2
MG562536	RAC-SK_E1.1.1
MG562537	RAC-SK_C1.1.2
MG562538	RAC-SK_E1.1.1
MG562539	RAC-SK_E1.1.1
MG562540	RAC-SK_D1.2
MG562541	RAC-SK_D1.2
MG562544	RAC-SK_E1.1
MG562545	RAC-SK_E1.2
MG562546	RAC-SK_E1.1.1
MG562548	RAC-SK_E1.2
MG562550	RAC-SK_O1
MG562551	RAC-SK_O1
MG562552	RAC-SK_H1
MG562563	RAC-SK_D1.1.2
MG562566	RAC-SK_D1.1.1
MG562571	RAC-SK_D1.1.2
MG562575	RAC-SK_D1.1.1
MG562578	RAC-SK_M1
MG562580	RAC-SK_B1.1.2
MG562581	RAC-SK_M1
MG562583	RAC-SK_M1
MG562589	RAC-SK_M1
MG562591	RAC-SK_M1
MG562594	RAC-SK_B1.1.2
MG562599	RAC-SK_E1.1
MG562607	RAC-SK_E1.1
MH514968	Africa-2_A1.1
MH514969	Africa-2_A1.1
MH514970	Africa-2_A1.1
MH514971	Africa-2_A1.1.1
MH514972	Africa-2_A1.1.1
MH514973	Africa-2_A1.1.1
MH514974	Africa-2_A1.1.1
MH514975	Africa-2_A1.1.1
MH671332	Indian-Sub_A1
MK540658	RAC-SK_B1
MK540659	RAC-SK_C1.1
MK540671	RAC-SK_C1.1.1
MK540680	RAC-SK_C1.1.3
MK540682	RAC-SK_C1.1.1
MK540690	RAC-SK_D1
MK540691	RAC-SK_I1.1
MK540692	RAC-SK_L1
MK540693	RAC-SK_C1.1.1
MK540694	RAC-SK_C1.1.3
MK540696	RAC-SK_I1
MK540697	RAC-SK_C1.1.2
MK540699	RAC-SK_I1
MK540700	RAC-SK_L1
MK540702	RAC-SK_I1
MK540703	RAC-SK_I1
MK540705	RAC-SK_C1.1.3
MK540709	RAC-SK_C1.1.2
MK540712	RAC-SK_C1.1.2
MK540717	RAC-SK_C1.1.2
MK540718	RAC-SK_D1
MK540719	RAC-SK_C1
MK540723	RAC-SK_I1.1
MK540726	RAC-SK_C1
MK540728	RAC-SK_L1
MK540729	RAC-SK_E1.2
MK540731	RAC-SK_D1
MK540732	RAC-SK_P1
MK540733	RAC-SK_E1
MK540741	RAC-SK_I1
MK540745	RAC-SK_I1.1
MK540747	RAC-SK_E1
MK540749	RAC-SK_A1.1.1
MK540754	RAC-SK_P1
MK540755	RAC-SK_I1.1
MK540759	RAC-SK_P1
MK540760	RAC-SK_L1
MK540761	RAC-SK_I1.1
MK540766	RAC-SK_L1
MK540772	RAC-SK_P1
MK540785	RAC-SK_E1
MK540788	RAC-SK_E1
MK540798	RAC-SK_P1
MK540816	RAC-SK_R1
MK540817	RAC-SK_R1
MK540823	RAC-SK_R1
MK540829	RAC-SK_Q1
MK540830	RAC-SK_R1
MK540831	RAC-SK_R1
MK540841	RAC-SK_Q1
MK540851	RAC-SK_Q1
MK540858	RAC-SK_Q1
MK540861	RAC-SK_Q1
MK540883	RAC-SK_B1.1.1
MK540884	RAC-SK_B1.1.1
MK540885	RAC-SK_B1.1.1
MK540886	RAC-SK_B1.1.1
MK540887	Arctic A_B1.3
MK540888	Arctic A_B1.3
MK540889	Arctic A_B1
MK540890	Arctic A_B1.3
MK540891	Arctic A_B1.3
MK540895	Arctic A_B1
MK540896	Arctic A_B1
MK540897	Arctic A_B1.1
MK540900	Arctic A_B1.5
MK540902	Arctic A_B1.5
MK540904	Arctic A_B1.5
MK540906	Arctic A_D1
MK540908	Arctic A_D1
MK540909	Arctic A_D1
MK540910	Arctic A_D1
MK540911	Arctic A_B1.5
MK540912	Arctic A_B1.1.1
MK540913	Arctic A_B1.1.1
MK540914	Arctic A_B1.1.1
MK540916	Arctic A_B1.4
MK540917	Arctic A_B1.1.1
MK540918	Arctic A_D1
MK540920	Arctic A_B1
MK540921	Arctic A_B1.1
MK540922	Arctic A_B1.2
MK540923	Arctic A_B1.1
MK540924	Arctic A_B1.2
MK540925	Arctic A_D1.1
MK540926	Arctic A_B1.4
MK540927	Arctic A_B1.1.1
MK540928	Arctic A_B1.4
MK540929	Arctic A_B1.1
MK540930	Arctic A_B1.1
MK540931	Arctic A_B1.2.1
MK540932	Arctic A_B1.2
MK540935	Arctic A_B1.2
MK540936	Arctic A_B1.2
MK540937	Arctic A_D1.1
MK540939	Arctic A_D1.1
MK540940	Arctic A_D1.1.1
MK540941	Arctic A_D1.1.1
MK540942	Arctic A_D1.1
MK540943	Arctic A_B1.2.1
MK540945	Arctic A_D1.1.1
MK540947	Arctic A_B1.2.1
MK540948	Arctic A_D1.2
MK540949	Arctic A_D1.1
MK540950	Arctic A_B1.4
MK540953	Arctic A_B1.2.1
MK540955	Arctic A_D1.2
MK540958	Arctic A_D1.2
MK540959	Arctic A_B1.2.1
MK540961	Arctic A_D1.2
MK540962	Arctic A_D1.2
MK540970	Arctic A_D1.1.1
MK540998	Arctic A_G1
MK540999	Arctic A_G1
MK541000	Arctic A_G1
MK541001	Arctic A_G1
MK541002	Arctic A_G1
MK541012	Arctic A_A1.1.2
MK598338	Cosmopolitan_B1
MK598339	Cosmopolitan_B1
MK598340	Cosmopolitan_B1
MK598346	Cosmopolitan NEE_A1.1
MK598347	Cosmopolitan NEE_A1.1
MK598348	Cosmopolitan NEE_A1.1
MK598349	Cosmopolitan NEE_A1.1
MK598351	Cosmopolitan NEE_B1
MK598352	Cosmopolitan NEE_B1
MK598353	Cosmopolitan NEE_B1
MK598354	Cosmopolitan NEE_B1
MK598355	Cosmopolitan NEE_B1
MK598361	Cosmopolitan NEE_A1.1.1
MK598380	Cosmopolitan NEE_C1
MK598381	Cosmopolitan NEE_A1.1.1
MK598382	Cosmopolitan NEE_C1
MK598383	Cosmopolitan NEE_C1
MK598384	Cosmopolitan NEE_C1
MK598385	Cosmopolitan NEE_C1
MK760667	Cosmopolitan_E1
MK760668	Cosmopolitan_E1
MK760669	Cosmopolitan ME1a_A1
MK760670	Cosmopolitan ME1a_A1.1
MK760671	Cosmopolitan ME1a_A1.1.1
MK760672	Cosmopolitan_E1
MK760673	Cosmopolitan ME1a_A1
MK760674	Cosmopolitan ME1a_A1.1
MK760675	Cosmopolitan CA2_A1
MK760677	Cosmopolitan ME1a_A1
MK760678	Cosmopolitan_E1
MK760685	Cosmopolitan ME1a_A1.2
MK760693	Cosmopolitan ME1a_A1.2
MK760694	Cosmopolitan ME1a_A1.1
MK760696	Cosmopolitan ME1a_A1.1.1
MK760699	Cosmopolitan ME1a_A1.1.1
MK760700	Cosmopolitan CA1_A1
MK760703	Cosmopolitan ME1a_A1.2
MK760704	Cosmopolitan ME1a_A1.1.1
MK760706	Cosmopolitan CA1_A1
MK760708	Cosmopolitan ME1a_A1.2
MK760711	Cosmopolitan ME2_A1.1
MK760713	Cosmopolitan ME1a_A1.2
