KC822940.1	𝜸.44.8
KX988282.1	𝜸.45.2
MF184813.1	𝜸.4.32
KC579687.1	𝜸.21
KP752841.1	𝜸.4.106
KM026642.1	𝜸.4.73
KC769389.1	𝜸.4.25
MW771158.1	𝜸.8.2
KM026629.1	𝜸.4.104
MK936381.1	𝜸.45.5
MZ065978.1	𝜸.52.2
AB573075.1	𝜸.2.1
ON792170.1	𝜸.4.28
ON221578.1	𝜸.49.9
KX548930.1	𝜸.7.4
MN528110.1	𝜸.49.1
KJ412560.1	𝜸.4.114
MG407652.1	𝜸.4.5
KM820669.1	𝜸.39.6
J02420.1	𝜸.34.1
OM416836.1	𝜸.14.2
KC580161.1	𝜸.44.1
KC175144.1	𝜸.4.32
KM454499.1	𝜸.10.1
MH238114.1	𝜸.71.1
EF672559.1	𝜸.12.8
FJ206116.1	𝜸.2.3
LC569898.1	𝜸.4.5
OP963665.1	𝜸.87
KU243432.1	𝜸.58
KY426804.1	𝜸.7.27
MN649761.1	𝜸.7.43
MN223998.1	𝜸.6.18
MT234366.1	𝜸.7.17
FV537098.1	𝜸.26
KP882842.1	𝜸.7.10
KU714451.1	𝜸.8.11
MZ094144.1	𝜸.8.10
KX024685.1	𝜸.12.4
KJ725024.1	𝜸.51.2
OP963643.1	𝜸.85
KX363385.1	𝜸.4.59
FJ206108.1	𝜸.2.5
MK936379.1	𝜸.75
KJ482283.1	𝜸.6.3
JN903513.2	𝜸.10.3
JX271008.1	𝜸.29.2
KX265686.1	𝜸.19.16
MN223997.1	𝜸.44.3
MH238101.1	𝜸.6.2
JF766596.1	𝜸.4.56
MT364875.1	𝜸.7.25
AB771766.1	𝜸.5.1
KX185116.1	𝜸.59.4
KP753186.1	𝜸.4.75
KU739913.1	𝜸.4.35
KF907256.1	𝜸.15.1
KM026623.1	𝜸.4.111
KY657937.1	𝜸.8.3
MH668303.1	𝜸.55.1
ON206952.1	𝜸.7.5
LC467830.1	𝜸.10.4
LC328197.1	𝜸.16
Z21640.1	𝜸.7.3
LC569294.1	𝜸.37.3
OM982801.1	𝜸.4.44
AF506293.1	𝜸.4.76
KM026618.1	𝜸.6.1
KJ482295.1	𝜸.6.3
MT066208.1	𝜸.4.88
KU243413.1	𝜸.57
OR125131.1	𝜸.7.5
KP752852.1	𝜸.39.3
GQ414547.1	𝜸.19.5
OQ440166.1	𝜸.44.9
KJ748472.1	𝜸.52.4
JX027792.1	𝜸.4.25
OP886869.1	𝜸.6.35
MT784844.1	𝜸.4.17
KU243406.1	𝜸.56
JN831205.1	𝜸.34.4
KY055423.1	𝜸.45.3
KC155681.1	𝜸.6.22
KC140594.1	𝜸.28
LC727732.1	𝜸.2.6
JF490370.1	𝜸.4.25
KF371901.1	𝜸.4.46
LC467874.1	𝜸.10.1
ON092395.1	𝜸.45.8
KP883084.1	𝜸.7.10
KC960626.1	𝜸.49.6
JF712562.1	𝜸.35
KY657951.1	𝜸.8.9
MZ054771.1	𝜸.80
OR192584.1	𝜸.4.113
LC119111.1	𝜸.52.1
MF940731.1	𝜸.4.13
KJ879455.1	𝜸.53
HQ343355.1	𝜸.2.7
MK376888.1	𝜸.31.2
KP258405.1	𝜸.14.3
KC610685.1	𝜸.6.14
AB741656.1	𝜸.6.24
KU292537.1	𝜸.19.8
GU937884.1	𝜸.8.7
JX070053.1	𝜸.41
JQ715660.1	𝜸.5.1
EU708930.1	𝜸.23.2
ON191757.1	𝜸.82
LC638705.2	𝜸.69
KP753185.1	𝜸.6.16
LC328246.1	𝜸.23.5
MG781038.1	𝜸.4.26
KF185100.1	𝜸.50
EU708941.1	𝜸.23.6
KJ918936.1	𝜸.4.11
MF940732.1	𝜸.4.13
ON092399.1	𝜸.4.92
EF672615.1	𝜸.4.84
KJ450850.1	𝜸.4.88
OM982783.1	𝜸.4.101
KC769466.1	𝜸.46
MK751429.1	𝜸.14.6
KJ482280.1	𝜸.4.43
MG781059.1	𝜸.4.127
OP947215.1	𝜸.84
KX363417.1	𝜸.4.5
KC442888.1	𝜸.4.70
JX040428.1	𝜸.8.14
MW752845.1	𝜸.7.6
AB908941.1	𝜸.10.1
FN665694.1	𝜸.25
MZ848153.1	𝜸.7.16
KM026608.1	𝜸.4.90
FJ206148.1	𝜸.4.13
FJ347107.1	𝜸.7.37
JF693120.1	𝜸.34.1
MH238119.1	𝜸.6.6
MF940676.1	𝜸.2.3
GU199517.1	𝜸.4.122
OM105043.1	𝜸.4.134
KJ626542.1	𝜸.4.142
OK651108.1	𝜸.49.5
MH697620.1	𝜸.4.77
MW771125.1	𝜸.7.24
JX946164.1	𝜸.37.1
KC175101.1	𝜸.4.18
KJ820854.1	𝜸.16
AB748594.1	𝜸.7.3
OL388437.1	𝜸.7.14
DQ490534.1	𝜸.16
KX185124.1	𝜸.59.5
KY077647.1	𝜸.45.3
GU199489.1	𝜸.4.36
MN556673.1	𝜸.4.33
KM820667.1	𝜸.4.123
KM026609.1	𝜸.6.1
HQ650123.1	𝜸.5.3
MT234347.1	𝜸.7.21
MH238122.1	𝜸.4.52
KF726062.1	𝜸.4.79
KM454488.1	𝜸.10.1
KC579676.1	𝜸.4.19
OQ440218.1	𝜸.44.7
KU739963.1	𝜸.4.35
KX398370.1	𝜸.62
EF990704.1	𝜸.7.39
AB971767.1	𝜸.11
MN649760.1	𝜸.7.19
LC433781.1	𝜸.27.3
KU363136.1	𝜸.4.86
EU708897.1	𝜸.23.4
MT163219.1	𝜸.7.5
MK953570.1	𝜸.13.3
MH933789.1	𝜸.72
OL988941.1	𝜸.12.1
AB753248.1	𝜸.8.11
OM362100.1	𝜸.6.36
EF554144.1	𝜸.12.12
MN567269.1	𝜸.61.1
KU739923.1	𝜸.4.136
KC443583.1	𝜸.5.3
MH182453.1	𝜸.19.1
KJ412594.1	𝜸.15.1
JF804985.1	𝜸.23.3
LC684241.1	𝜸.5.3
KP753001.1	𝜸.4.75
MN067440.1	𝜸.19.4
KP006513.1	𝜸.7.45
AB779639.1	𝜸.4.85
ON059884.1	𝜸.81
MK272883.1	𝜸.15.1
MT784839.1	𝜸.4.17
JN128999.1	𝜸.4.91
KC815665.1	𝜸.47
HM348721.1	𝜸.4.67
MK953579.1	𝜸.13.3
LC060821.1	𝜸.33.1
LC389881.1	𝜸.13.6
KP752873.1	𝜸.7.21
KY113327.1	𝜸.33.2
JX204818.1	𝜸.42.1
AB009625.2	𝜸.91
JF304933.1	𝜸.4.128
KJ752056.1	𝜸.7.21
KX363338.1	𝜸.27.5
KJ748483.1	𝜸.52.4
KX363322.1	𝜸.4.95
KU360990.1	𝜸.50
KX268783.1	𝜸.30.2
OQ440178.1	𝜸.44.5
KC580342.1	𝜸.4.96
AB022770.1	𝜸.1
MT232591.1	𝜸.19.5
MT025898.1	𝜸.4.36
MN649752.1	𝜸.7.8
MK638877.1	𝜸.8.6
GU827413.1	𝜸.29.5
KX420945.1	𝜸.30.3
MF940673.1	𝜸.2.3
LC460422.1	𝜸.52.3
LC095950.1	𝜸.4.62
LC340017.1	𝜸.7.36
KP882996.1	𝜸.7.10
KC215536.1	𝜸.34.1
KF371726.1	𝜸.4.46
MZ848152.1	𝜸.7.16
JX027880.1	𝜸.4.56
LC328250.1	𝜸.37.2
KT873804.1	𝜸.55.6
MK227394.1	𝜸.27.2
MF940677.1	𝜸.2.3
LC553591.1	𝜸.7.1
MN528082.1	𝜸.77
MH238104.1	𝜸.4.20
JF990811.1	𝜸.34.1
KC580304.1	𝜸.4.19
MK410290.1	𝜸.4.124
KP231501.1	𝜸.7.35
JX629047.1	𝜸.4.28
HQ661130.1	𝜸.7.13
KJ482275.1	𝜸.4.43
OM212046.1	𝜸.33.3
OM982731.1	𝜸.4.45
MK692884.1	𝜸.55.3
KX185123.1	𝜸.59.3
KP752761.1	𝜸.39.3
MW771169.1	𝜸.7.24
KJ482292.1	𝜸.6.3
OL989013.1	𝜸.39.4
MF940675.1	𝜸.2.3
MF184783.1	𝜸.4.24
KU740023.1	𝜸.4.31
HM348723.1	𝜸.4.102
ON059889.1	𝜸.81
KU363135.1	𝜸.4.42
KY055434.1	𝜸.64
OP680463.1	𝜸.2.8
KC580138.1	𝜸.4.49
MT364864.1	𝜸.7.22
KC174917.1	𝜸.4.112
KM026610.1	𝜸.6.1
MH238103.1	𝜸.4.20
JF796697.1	𝜸.6.19
LC133565.1	𝜸.2.2
OM982708.1	𝜸.4.45
OL988977.1	𝜸.34.1
MH238113.1	𝜸.71.1
EU708919.1	𝜸.23.1
JN013978.1	𝜸.19.2
AB573084.1	𝜸.3.2
MH238120.1	𝜸.39.7
EF554100.1	𝜸.18.1
AB853897.1	𝜸.2.6
LC384337.1	𝜸.7.5
KY972324.1	𝜸.7.27
KJ482299.1	𝜸.4.98
MW292236.1	𝜸.3.1
KC579560.1	𝜸.21
JN128988.1	𝜸.4.91
KJ752614.1	𝜸.19.3
ON092397.1	𝜸.4.92
MW720863.1	𝜸.49.4
MN029111.1	𝜸.29.4
LC438386.1	𝜸.1
KU956013.1	𝜸.7.32
KX185122.1	𝜸.59.1
KX268750.1	𝜸.61.2
LC553613.1	𝜸.7.41
MN649756.1	𝜸.7.19
JQ863316.1	𝜸.13.3
LC088121.1	𝜸.51.1
KY053215.1	𝜸.4.61
HQ343365.1	𝜸.4.57
HQ834203.1	𝜸.33.2
HQ343343.1	𝜸.4.19
KM820668.1	𝜸.6.32
JF421982.1	𝜸.7.9
MZ065923.1	𝜸.52.2
KU740015.1	𝜸.4.69
KM026663.1	𝜸.4.38
HQ661119.1	𝜸.7.13
JF831950.1	𝜸.19.8
KC117144.1	𝜸.6.21
MN649753.1	𝜸.7.30
JN128994.1	𝜸.4.91
KP231502.1	𝜸.7.35
KP882479.1	𝜸.19.17
MH568763.1	𝜸.55.1
KJ126815.1	𝜸.13.7
LC133554.1	𝜸.7.7
KJ753680.1	𝜸.39.3
MK227405.1	𝜸.74
KX363363.1	𝜸.4.59
KP752895.1	𝜸.19.15
KY657939.1	𝜸.8.3
KJ752478.1	𝜸.6.17
AB771768.1	𝜸.4.28
HM627560.1	𝜸.32
LC328249.1	𝜸.15.3
LC095917.1	𝜸.4.62
MH137273.1	𝜸.4.120
KP752918.1	𝜸.4.21
KM026664.1	𝜸.4.38
KC870015.1	𝜸.19.5
MN481637.1	𝜸.55.2
AB972863.1	𝜸.12.5
MT784846.1	𝜸.4.83
KC815699.1	𝜸.48
MK026442.1	𝜸.6.31
MK167199.1	𝜸.73
LC088134.1	𝜸.24.3
JN104616.1	𝜸.4.137
AY740734.1	𝜸.14.3
OP963654.1	𝜸.86
ON092398.1	𝜸.4.92
KJ411439.1	𝜸.7.26
OQ440203.1	𝜸.88
GU296413.1	𝜸.14.1
MN649758.1	𝜸.7.29
OR192609.1	𝜸.90
KX363311.1	𝜸.4.95
KX257414.1	𝜸.60
MZ848151.1	𝜸.7.16
JF712584.1	𝜸.10.2
KM026619.1	𝜸.4.68
LC328196.1	𝜸.16
GU189556.1	𝜸.27.6
LC704660.1	𝜸.70.2
KU739953.1	𝜸.4.35
FJ361208.1	𝜸.4.121
KC149935.1	𝜸.4.105
LC000540.1	𝜸.65
KJ875798.1	𝜸.7.13
JX040429.1	𝜸.28
LC438397.1	𝜸.5.2
JN258882.1	𝜸.4.126
KY657952.1	𝜸.8.9
KR086414.1	𝜸.35
KU508376.1	𝜸.19.6
ON191603.1	𝜸.7.9
EU708908.1	𝜸.23.2
KF680474.2	𝜸.44.6
JF796708.1	𝜸.4.129
MG926764.1	𝜸.8.2
KP752444.1	𝜸.7.10
KC579941.1	𝜸.4.40
MH700489.1	𝜸.45.7
AB779641.1	𝜸.4.93
LC158123.1	𝜸.7.33
DQ838611.1	𝜸.17
ON059887.1	𝜸.81
KF726073.1	𝜸.4.79
JX442771.1	𝜸.19.8
AB753223.1	𝜸.8.16
LC326513.1	𝜸.15.2
EF990688.1	𝜸.4.7
KJ752477.1	𝜸.4.21
MN067451.1	𝜸.7.11
KJ482279.1	𝜸.6.21
EF554111.1	𝜸.19.13
KC020033.1	𝜸.6.30
GQ149101.1	𝜸.4.23
FJ998277.1	𝜸.13.4
KX814949.1	𝜸.49.11
KY657953.1	𝜸.8.9
MN365908.1	𝜸.24.1
MK250431.1	𝜸.8.6
KM026643.1	𝜸.4.58
LC133532.1	𝜸.8.8
KU587861.1	𝜸.42.2
OR192604.1	𝜸.4.89
KU739933.1	𝜸.4.71
MZ065648.1	𝜸.19.9
ON377044.1	𝜸.7.40
KM393174.1	𝜸.13.2
LC467819.1	𝜸.10.4
MW720874.1	𝜸.49.4
JN872872.1	𝜸.10.2
KM820672.1	𝜸.4.94
MZ066242.1	𝜸.52.2
LC704649.1	𝜸.70.2
JN635550.1	𝜸.4.55
OQ440192.1	𝜸.6.25
KJ482274.1	𝜸.4.43
MH238099.1	𝜸.71.2
KT281127.1	𝜸.7.42
MT163186.1	𝜸.4.51
KU360992.1	𝜸.50
KP752760.1	𝜸.6.20
GQ428137.1	𝜸.12.3
KY053150.1	𝜸.4.61
MT163208.1	𝜸.8.4
KU740003.1	𝜸.4.100
LC367321.1	𝜸.8.6
EF672573.1	𝜸.21
MT232580.1	𝜸.19.5
MN649754.1	𝜸.7.8
JX567765.1	𝜸.12.13
HM348720.1	𝜸.4.63
KC149928.1	𝜸.4.109
FJ347129.1	𝜸.2.10
KC117146.1	𝜸.4.22
AB753247.1	𝜸.8.11
KC117142.1	𝜸.6.26
KU708263.1	𝜸.12.5
JQ715663.1	𝜸.4.97
KP882633.1	𝜸.52.4
JN258945.1	𝜸.4.55
FJ816614.1	𝜸.6.34
LC340028.1	𝜸.7.38
KC139786.1	𝜸.4.37
MK953588.1	𝜸.13.3
LC528248.1	𝜸.67
LC553635.1	𝜸.7.1
ON092402.1	𝜸.4.92
EF672608.1	𝜸.22
MK597967.1	𝜸.27.4
OL988965.1	𝜸.12.9
GU296412.1	𝜸.4.107
KR052721.1	𝜸.6.29
KP883029.1	𝜸.19.3
KY937199.1	𝜸.4.47
JX036372.1	𝜸.40.2
LC328251.1	𝜸.37.2
LC727983.1	𝜸.2.4
LC328248.1	𝜸.23.4
MN479714.1	𝜸.5.3
MT501459.1	𝜸.8.18
EU200800.1	𝜸.4.66
GU384196.1	𝜸.7.44
KF035103.1	𝜸.4.138
FJ169860.1	𝜸.24.1
KX268761.1	𝜸.61.2
KF500515.1	𝜸.14.7
LC095939.1	𝜸.4.65
MN223984.1	𝜸.44.2
JQ898159.1	𝜸.39.2
KC815687.1	𝜸.48
AB770159.1	𝜸.9.2
LC569887.1	𝜸.4.103
JX204829.1	𝜸.43.2
AB779640.1	𝜸.4.139
KC117141.1	𝜸.4.60
KX814960.1	𝜸.49.7
MH910070.1	𝜸.6.31
MH910081.1	𝜸.6.23
KC117140.1	𝜸.4.60
EF554133.1	𝜸.20
KC020024.2	𝜸.44.4
OM982753.1	𝜸.6.27
MH308726.1	𝜸.4.108
KX274532.1	𝜸.4.99
KC579582.1	𝜸.4.96
JQ309142.1	𝜸.6.28
KU292526.1	𝜸.8.15
KC822934.1	𝜸.14.1
ON012970.1	𝜸.33.5
JN605444.1	𝜸.4.106
MZ065813.1	𝜸.19.9
ON092403.1	𝜸.4.80
LC328247.1	𝜸.23.4
KJ482291.1	𝜸.4.60
HM363561.1	𝜸.31.1
KP753057.1	𝜸.4.34
HM627549.1	𝜸.12.11
FJ206138.1	𝜸.2.5
LC095895.1	𝜸.4.87
KJ918920.1	𝜸.14.4
KU356614.1	𝜸.8.21
KC117145.1	𝜸.4.22
JN104624.1	𝜸.4.116
ON059888.1	𝜸.81
KJ753136.1	𝜸.4.132
OR192595.1	𝜸.4.113
LC190493.1	𝜸.4.117
MG781048.1	𝜸.4.143
KC580050.1	𝜸.4.96
MH238100.1	𝜸.71.3
MH238110.1	𝜸.39.5
KU128899.1	𝜸.7.15
MW280875.1	𝜸.29.2
GU199195.1	𝜸.27.7
KJ482281.1	𝜸.4.22
MG181663.1	𝜸.8.17
OM982782.1	𝜸.4.27
KX185119.1	𝜸.59.2
KU739908.1	𝜸.4.35
MW575224.1	𝜸.4.78
HQ661141.1	𝜸.7.13
EF554155.1	𝜸.19.11
LC065024.1	𝜸.33.4
JQ993325.1	𝜸.4.140
KJ482278.1	𝜸.4.98
KJ820832.1	𝜸.16
KM820673.1	𝜸.4.53
KX268772.1	𝜸.61.2
OQ807046.1	𝜸.33.3
MH624169.1	𝜸.4.72
JN013976.1	𝜸.19.3
MH238109.1	𝜸.71.2
JQ358771.1	𝜸.38
KJ627108.1	𝜸.4.2
KR052731.1	𝜸.4.29
LC095961.1	𝜸.2.9
KF726040.1	𝜸.4.39
KP752954.1	𝜸.6.7
KX268794.1	𝜸.61.3
ON092400.1	𝜸.4.80
MN102372.1	𝜸.4.135
OM982784.1	𝜸.6.8
MN433624.1	𝜸.40.1
KC020032.1	𝜸.29.1
