LC569891.1	𝝎.33.10
KX363345.1	𝝎.80.2
ON059840.1	𝝎.118
AB779625.1	𝝎.10.4
LC469411.1	𝝎.20.2
OL401528.1	𝝎.114
JX036365.1	𝝎.47
KC443466.1	𝝎.7.4
MZ065919.1	𝝎.20.2
EF554093.1	𝝎.2.43
LC569054.1	𝝎.18.1
MZ099618.1	𝝎.113
JN903528.1	𝝎.11.7
JF693059.1	𝝎.16.1
ON191596.1	𝝎.16.2
MT163226.1	𝝎.2.5
MK936401.1	𝝎.96.3
ON988153.1	𝝎.120
OQ201421.1	𝝎.2.5
MK272896.1	𝝎.18.1
KC580188.1	𝝎.3.6
KF907278.1	𝝎.18.1
MT579414.1	𝝎.7.4
KC815669.1	𝝎.11.1
MK936397.1	𝝎.96.7
KC412043.1	𝝎.52.1
AB908912.1	𝝎.11.1
JN831220.1	𝝎.2.9
KX420939.1	𝝎.79.1
KJ412797.1	𝝎.18.3
FJ347122.1	𝝎.29.1
LC095946.1	𝝎.3.19
AB573079.1	𝝎.2.40
FJ947384.1	𝝎.3.8
DQ146699.1	𝝎.18.1
MN102365.1	𝝎.103
OQ201425.1	𝝎.2.5
MT579317.1	𝝎.3.15
LC133536.1	𝝎.2.33
MW725571.1	𝝎.35.4
OR192588.1	𝝎.35.2
KJ412819.1	𝝎.18.3
MH308715.1	𝝎.84.3
AB749786.1	𝝎.6.1
LC178564.1	𝝎.17
OM450978.1	𝝎.18.5
KC175126.1	𝝎.2.3
AB749787.1	𝝎.6.1
KF636256.1	𝝎.2.9
MT226612.1	𝝎.2.2
KP752767.1	𝝎.68.2
OQ440214.1	𝝎.10.13
MF940641.1	𝝎.2.11
KU243541.1	𝝎.71
LC328225.1	𝝎.18.6
DQ838639.1	𝝎.17
MK692877.1	𝝎.48.7
MG781032.1	𝝎.10.12
OR127202.1	𝝎.127
KC960619.1	𝝎.54.2
JF712555.1	𝝎.43.2
KU243544.1	𝝎.73.1
LC158119.1	𝝎.2.41
FJ422131.1	𝝎.2.24
DQ870493.1	𝝎.2.13
DQ490533.1	𝝎.18.2
KC215529.1	𝝎.16.1
MZ066172.1	𝝎.20.2
KU363137.1	𝝎.10.4
OL988961.1	𝝎.2.18
KF835892.1	𝝎.58
OL989021.1	𝝎.16.1
KJ412677.1	𝝎.18.3
MZ066227.1	𝝎.20.2
FJ947219.1	𝝎.3.8
KT887531.1	𝝎.2.29
GU189551.1	𝝎.33.35
OR192354.1	𝝎.7.5
KJ870889.1	𝝎.20.5
MN029115.1	𝝎.102
KX363421.1	𝝎.3.26
MH238212.1	𝝎.96.1
KF835894.1	𝝎.57.1
MT025906.1	𝝎.35.1
KU243548.1	𝝎.72
OQ333049.1	𝝎.124
GU937877.1	𝝎.7.8
KY634814.1	𝝎.33.24
MK936399.1	𝝎.101
HQ846854.1	𝝎.2.2
MN365923.1	𝝎.27
KC815694.1	𝝎.11.6
KC769371.1	𝝎.3.25
JN129055.1	𝝎.39.5
AB853890.1	𝝎.2.21
X16830.1	𝝎.17
KP258398.1	𝝎.16.6
HQ540507.1	𝝎.40
ON711384.1	𝝎.2.30
KF835889.1	𝝎.55
MH238215.1	𝝎.96.9
MH568756.1	𝝎.48.5
JF796712.1	𝝎.34.3
KX212875.1	𝝎.2.46
KJ919370.1	𝝎.2.12
MH238199.1	𝝎.96.2
KJ412882.1	𝝎.18.3
JF521472.1	𝝎.3.11
MN067455.1	𝝎.2.51
LC001939.1	𝝎.4.2
MW752838.1	𝝎.2.8
MW280911.1	𝝎.21.2
MK953602.1	𝝎.3.7
OM982712.1	𝝎.116
OP971575.1	𝝎.52.2
KX363304.1	𝝎.3.26
GU296421.1	𝝎.2.37
KJ751624.1	𝝎.20.3
LC460246.1	𝝎.11.2
MT579378.1	𝝎.3.5
KT873808.1	𝝎.48.2
AB749794.1	𝝎.6.1
FJ169853.1	𝝎.27
KP752923.1	𝝎.68.1
OM201228.1	𝝎.33.33
KF835891.1	𝝎.57.2
KY053144.1	𝝎.84.2
DQ205221.1	𝝎.16.7
AB022765.1	𝝎.1
KJ412598.1	𝝎.18.1
AB749779.1	𝝎.6.1
EF583006.1	𝝎.2.2
JF712577.1	𝝎.11.3
EU708901.1	𝝎.25.4
AB779624.1	𝝎.10.6
KJ748465.1	𝝎.20.5
LC095924.1	𝝎.3.19
JN903527.1	𝝎.11.2
KX814945.1	𝝎.50.3
MH238214.1	𝝎.96.1
MN528101.1	𝝎.106.1
KC610678.1	𝝎.35.21
MH238207.1	𝝎.96.1
MH238201.1	𝝎.96.7
JF304926.1	𝝎.6.2
LC389885.1	𝝎.35.19
MF940639.1	𝝎.2.11
JF781158.1	𝝎.33.18
LC328226.1	𝝎.25.2
ON792155.1	𝝎.19.2
FJ998270.1	𝝎.3.9
KU363138.1	𝝎.10.4
MW720858.1	𝝎.109
ON012963.1	𝝎.30.2
MF940585.1	𝝎.35.4
LC133547.1	𝝎.2.45
KC579914.1	𝝎.3.6
LC095935.1	𝝎.33.14
JX416218.1	𝝎.3.9
OM982757.1	𝝎.117.3
MW924298.1	𝝎.2.47
HQ650116.1	𝝎.4.2
JQ993321.1	𝝎.35.3
LC133569.1	𝝎.16.3
OR192409.1	𝝎.128
KX814924.1	𝝎.81
MW771123.1	𝝎.2.7
MT234362.1	𝝎.2.7
JF693037.1	𝝎.42
MN365912.1	𝝎.27
KU962128.1	𝝎.2.26
KT281120.1	𝝎.2.35
MN528116.1	𝝎.106.1
EF583010.1	𝝎.24.1
ON059859.1	𝝎.118
KF500519.1	𝝎.2.37
KR052725.1	𝝎.39.2
EF554137.1	𝝎.22.4
LC467925.1	𝝎.11.2
OM450955.1	𝝎.45.1
LC119093.1	𝝎.20.6
MT066200.1	𝝎.35.4
LC119104.1	𝝎.20.6
KC443587.1	𝝎.4.2
MW720867.1	𝝎.110
MT271028.1	𝝎.33.34
KY053208.1	𝝎.35.5
MW575217.1	𝝎.33.29
KM393170.1	𝝎.33.8
KF726036.1	𝝎.33.16
KJ919371.1	𝝎.2.12
JQ004970.1	𝝎.26
MH267270.1	𝝎.84.1
LC133514.1	𝝎.7.9
LC638698.1	𝝎.93
JN831231.1	𝝎.2.7
KF726069.1	𝝎.33.19
GU199191.1	𝝎.33.36
KM820700.1	𝝎.35.9
OQ440199.1	𝝎.35.11
JF693026.1	𝝎.2.13
KX363276.1	𝝎.33.13
MF940640.1	𝝎.2.11
AB924106.1	𝝎.14
KX268787.1	𝝎.78.1
ON792145.1	𝝎.3.21
KC412052.1	𝝎.10.9
KM820701.1	𝝎.35.18
MN478985.1	𝝎.3.3
LC001950.1	𝝎.4.1
FJ347111.1	𝝎.29.3
MH238218.1	𝝎.98
LC727725.1	𝝎.2.21
KC178764.1	𝝎.51.4
OM201223.1	𝝎.35.8
MK597971.1	𝝎.33.37
LC336591.1	𝝎.2.22
ON059839.1	𝝎.118
OR192348.1	𝝎.7.6
HQ661134.1	𝝎.25.1
HM627553.1	𝝎.38
KJ919361.1	𝝎.2.12
KR086407.1	𝝎.43.2
KU243540.1	𝝎.71
FJ947417.1	𝝎.3.8
EF583029.1	𝝎.3.14
OQ807041.1	𝝎.125
MW771132.1	𝝎.2.7
JQ713645.1	𝝎.45.5
KP882684.1	𝝎.20.5
LC328188.1	𝝎.18.2
KM820699.1	𝝎.10.7
KC580005.1	𝝎.39.3
MN528086.1	𝝎.106.1
KF577838.1	𝝎.29.2
KJ919378.1	𝝎.2.12
OM982790.1	𝝎.35.16
MN479075.1	𝝎.4.2
KX265690.1	𝝎.51.2
MG181227.1	𝝎.19.2
FJ947749.1	𝝎.3.8
EF554126.1	𝝎.16.4
KU739906.1	𝝎.75.2
OM982789.1	𝝎.10.11
ON221571.1	𝝎.60
JX402791.1	𝝎.2.52
OP963636.1	𝝎.121
MF940695.1	𝝎.35.1
AB009629.2	𝝎.129
AB924084.1	𝝎.12
KJ020891.1	𝝎.60
OM212039.1	𝝎.30.2
MH898987.1	𝝎.33.17
MH697613.1	𝝎.33.26
LC553595.1	𝝎.2.10
KX362689.1	𝝎.33.6
FJ947230.1	𝝎.3.8
HQ661123.1	𝝎.25.1
KX548936.1	𝝎.17
LC208011.1	𝝎.33.7
KU587853.1	𝝎.48.8
EU708934.1	𝝎.25.4
KP753006.1	𝝎.62.2
EU708912.1	𝝎.25.4
EF554115.1	𝝎.22.4
AB573070.1	𝝎.2.15
KU739902.1	𝝎.75.4
HQ834197.1	𝝎.26
KY113330.1	𝝎.26
KC610700.1	𝝎.35.15
MN365901.1	𝝎.27
MK227398.1	𝝎.33.4
KX988275.1	𝝎.33.12
KX268776.1	𝝎.79.2
KU739907.1	𝝎.75.6
KP198650.1	𝝎.51.3
KU739904.1	𝝎.74
MW771143.1	𝝎.2.50
KP753190.1	𝝎.62.2
EF576937.1	𝝎.22.5
KP882629.1	𝝎.20.5
OQ981100.1	𝝎.126
KU243542.1	𝝎.72
ON989013.1	𝝎.35.13
MK953566.1	𝝎.3.7
GU296420.1	𝝎.21.5
KR632623.1	𝝎.70
KC140590.1	𝝎.39.8
KF835896.1	𝝎.59.1
MZ848167.1	𝝎.2.31
EF554148.1	𝝎.22.6
JN258950.1	𝝎.3.10
HG513045.1	𝝎.10.14
LC727976.1	𝝎.2.42
MK936398.1	𝝎.96.7
LC208545.1	𝝎.89.2
KU508380.1	𝝎.21.6
ON792166.1	𝝎.19.2
MN551598.1	𝝎.107
EU708890.1	𝝎.25.5
MK953575.1	𝝎.3.7
AB779622.1	𝝎.10.4
JX567760.1	𝝎.2.19
OP718293.1	𝝎.33.11
KP752959.1	𝝎.68.1
AB971760.1	𝝎.15
OR192418.1	𝝎.3.13
OR192599.1	𝝎.35.2
MK379316.1	𝝎.100.1
AB763956.1	𝝎.8
KJ820836.1	𝝎.63
EF583033.1	𝝎.6.3
OP082202.1	𝝎.33.20
KU739899.1	𝝎.74
MH697646.1	𝝎.33.26
KU243546.1	𝝎.72
KY055427.1	𝝎.85
HM773898.1	𝝎.39.4
KT887520.1	𝝎.28.1
JQ988899.1	𝝎.46
KY937203.1	𝝎.10.2
KT878995.1	𝝎.28.1
MN365934.1	𝝎.27
MT163204.1	𝝎.7.3
OQ440162.1	𝝎.59.3
MN067444.1	𝝎.22.3
MT364824.1	𝝎.18.5
MK410286.1	𝝎.33.25
MN626420.1	𝝎.2.20
OQ201423.1	𝝎.2.14
LC438379.1	𝝎.1
MH238200.1	𝝎.96.2
MK250424.1	𝝎.30.2
KJ870900.1	𝝎.64
ON059858.1	𝝎.118
LC088115.1	𝝎.61.2
LC340013.1	𝝎.2.4
KF726058.1	𝝎.33.9
KM820697.1	𝝎.35.6
JX204811.1	𝝎.48.4
LC133558.1	𝝎.2.15
KX363356.1	𝝎.33.24
MK227388.1	𝝎.33.2
KJ752483.1	𝝎.62.3
EF560612.1	𝝎.2.6
OK651080.1	𝝎.54.1
KP882926.1	𝝎.20.1
MT163182.1	𝝎.2.32
MG214337.1	𝝎.51.5
KU243547.1	𝝎.73.2
MK936400.1	𝝎.96.6
OK087521.1	𝝎.106.2
OR192605.1	𝝎.35.2
JF796723.1	𝝎.34.3
KP752856.1	𝝎.68.1
MN478983.1	𝝎.3.3
KJ753357.1	𝝎.20.3
OM416829.1	𝝎.45.1
KF835895.1	𝝎.10.8
MH910063.1	𝝎.3.20
KU243539.1	𝝎.71
LC095891.1	𝝎.88.2
KX363399.1	𝝎.80.1
KF835890.1	𝝎.56
KJ879448.1	𝝎.65
KF812721.1	𝝎.3.4
JX271001.1	𝝎.37
MH624173.1	𝝎.33.30
JX416211.1	𝝎.6.5
MF940697.1	𝝎.35.1
EF554104.1	𝝎.21.3
GQ428141.1	𝝎.2.28
KU243521.1	𝝎.71
KU739901.1	𝝎.75.4
OP680459.1	𝝎.2.49
KJ870878.1	𝝎.20.5
KX814956.1	𝝎.83
OM982735.1	𝝎.35.20
MN539284.1	𝝎.105
LC088096.2	𝝎.48.6
OR192577.1	𝝎.35.2
JN104611.1	𝝎.10.10
KU956006.1	𝝎.2.36
KX363326.1	𝝎.10.2
JF796701.1	𝝎.34.3
AB763957.1	𝝎.8
LC061616.1	𝝎.10.15
OK185344.1	𝝎.48.7
MH267269.1	𝝎.99
KP198639.1	𝝎.21.1
LC634422.1	𝝎.89.1
MG407645.1	𝝎.95
HQ661112.1	𝝎.18.4
JN635554.1	𝝎.3.10
HQ540509.1	𝝎.41
KJ411432.1	𝝎.24.3
KX363410.1	𝝎.10.2
GU827406.1	𝝎.37
MK379516.1	𝝎.100.2
MN433617.1	𝝎.105
OP947219.1	𝝎.24.2
JF421975.1	𝝎.21.2
JF304915.1	𝝎.6.4
KU243533.1	𝝎.45.2
LC340024.1	𝝎.18.5
OP082199.1	𝝎.33.15
MZ027415.1	𝝎.111
MG781042.1	𝝎.90.2
KX257410.1	𝝎.77
KY426809.1	𝝎.22.7
OQ440188.1	𝝎.35.10
LC467936.1	𝝎.11.2
MZ848168.1	𝝎.2.31
OM201230.1	𝝎.3.12
MW552831.1	𝝎.7.7
MN307986.1	𝝎.104
DQ146693.1	𝝎.6.3
MH238196.1	𝝎.96.5
MN528075.1	𝝎.106.1
KF690125.1	𝝎.54.3
KP883179.1	𝝎.20.1
KX268754.1	𝝎.78.1
MT876637.1	𝝎.33.23
MZ054764.1	𝝎.112
LC553617.1	𝝎.2.10
KP753122.1	𝝎.62.1
JF521461.1	𝝎.3.11
KJ875791.1	𝝎.18.4
KM254178.1	𝝎.66.2
FJ347100.1	𝝎.28.2
LC569880.1	𝝎.90.1
MK026435.1	𝝎.3.20
KC579531.1	𝝎.3.6
LC326509.1	𝝎.25.3
KP883025.1	𝝎.20.1
KU739903.1	𝝎.76
LC328189.1	𝝎.18.2
AY740741.1	𝝎.16.6
LC553628.1	𝝎.2.27
OP886873.1	𝝎.39.7
JX094028.1	𝝎.22.8
KJ820825.1	𝝎.18.2
AB779623.1	𝝎.10.4
KX814935.1	𝝎.82
MH137269.1	𝝎.33.1
KJ803835.1	𝝎.2.25
KJ725017.1	𝝎.61.3
KM820695.1	𝝎.67
LC460426.1	𝝎.7.11
LC061617.1	𝝎.10.5
DQ870497.1	𝝎.19.1
AB770155.1	𝝎.9
OQ082570.1	𝝎.2.46
GU384192.1	𝝎.36.2
MT276806.1	𝝎.2.17
ON676180.1	𝝎.35.22
HM773865.1	𝝎.3.17
AB374143.1	𝝎.2.44
JX946168.1	𝝎.50.1
KX363389.1	𝝎.80.1
JQ309138.1	𝝎.44
KF035107.1	𝝎.39.1
MZ097274.1	𝝎.50.2
OL988973.1	𝝎.2.28
JX204822.1	𝝎.49
AB741649.1	𝝎.5
KP883135.1	𝝎.20.1
MK638870.1	𝝎.30.2
KJ919337.1	𝝎.37
KX363378.1	𝝎.80.1
OM201229.1	𝝎.3.12
MH238210.1	𝝎.96.8
EF583041.1	𝝎.2.53
LC433785.1	𝝎.10.3
OP082201.1	𝝎.33.31
LC704664.1	𝝎.94.1
KF835893.1	𝝎.59.2
OM201227.1	𝝎.33.5
LC095913.1	𝝎.88.1
KX268743.1	𝝎.78.1
KU708259.1	𝝎.2.39
JQ423902.1	𝝎.45.3
MN551587.1	𝝎.106.1
OP963647.1	𝝎.122
OP963658.1	𝝎.123
KJ559162.1	𝝎.3.16
MF940638.1	𝝎.2.11
LC553606.1	𝝎.2.16
HM627542.1	𝝎.2.1
KT934648.1	𝝎.48.1
LC367314.1	𝝎.16.5
LC095902.1	𝝎.33.14
ON377047.1	𝝎.119
AB972856.1	𝝎.16.3
LC095957.1	𝝎.2.48
AB733133.2	𝝎.4.3
EF554082.1	𝝎.20.3
MG926767.1	𝝎.2.34
OR192417.1	𝝎.3.13
FN665677.1	𝝎.21.6
LC133525.1	𝝎.7.9
MK597960.1	𝝎.33.28
KC488885.1	𝝎.2.18
MW292229.1	𝝎.2.23
LC438390.1	𝝎.4.3
LC190486.1	𝝎.10.1
LC088218.1	𝝎.87
LC088107.1	𝝎.61.1
KP006506.1	𝝎.2.36
OL989009.1	𝝎.115
OQ440174.1	𝝎.34.2
LC328227.1	𝝎.45.4
OM201225.1	𝝎.35.12
AB924095.1	𝝎.13
OM982810.1	𝝎.117.1
MH238216.1	𝝎.96.10
MH697635.1	𝝎.33.26
LC328224.1	𝝎.25.3
KM454503.1	𝝎.11.4
MN479121.1	𝝎.3.22
LC704642.1	𝝎.94.2
KC815658.1	𝝎.2.15
MK597982.1	𝝎.33.22
MW552226.1	𝝎.20.3
ON012974.1	𝝎.30.2
MN481630.1	𝝎.48.1
MH238206.1	𝝎.97
MH238209.1	𝝎.96.8
LC065020.1	𝝎.30.1
OM982809.1	𝝎.117.2
JF712566.1	𝝎.11.3
MW552215.1	𝝎.20.3
KM820696.1	𝝎.35.14
FV537146.1	𝝎.31
