FJ422134.1	𝜶.7.2
MK227933.1	𝜶.114.1
KX363381.1	𝜶.122
KJ752040.1	𝜶.20.6
DQ887060.2	𝜶.39.9
EF672584.1	𝜶.1.11
HM773868.1	𝜶.1.9
LC514539.1	𝜶.11.1
KC580224.1	𝜶.1.3
FJ492835.1	𝜶.59
LC095878.1	𝜶.18.12
KF500522.1	𝜶.3.21
LC260226.1	𝜶.20.3
KJ751727.1	𝜶.20.2
KC175283.1	𝜶.49.2
OM366094.1	𝜶.192.5
KP902535.1	𝜶.11.1
KC579738.1	𝜶.1.3
KC139780.1	𝜶.18.8
LC499734.1	𝜶.27.12
LC569883.1	𝜶.18.3
LC133539.1	𝜶.27.1
KP882990.1	𝜶.20.2
KY905316.1	𝜶.130
KC579556.1	𝜶.1.7
MH267273.1	𝜶.156
JX271004.1	𝜶.3.22
JN706511.1	𝜶.3.5
AB749206.1	𝜶.20.8
LC469334.1	𝜶.20.3
KJ752621.1	𝜶.20.2
KC579795.1	𝜶.1.10
LC499729.1	𝜶.31.1
LC499714.1	𝜶.31.9
FJ947244.1	𝜶.1.6
LC591087.1	𝜶.27.3
MT198758.1	𝜶.96.1
KR262152.1	𝜶.3.5
MK953564.1	𝜶.20.5
MZ066005.1	𝜶.11.1
KC174891.1	𝜶.49.1
FJ947310.1	𝜶.1.6
KJ752488.1	𝜶.92.1
AB008289.1	𝜶.3.3
LC467835.1	𝜶.22.3
LC600812.1	𝜶.93
KC580123.1	𝜶.1.3
LC591037.1	𝜶.27.7
MK597963.1	𝜶.164
LC591027.1	𝜶.27.3
KX655487.1	𝜶.123
GU984755.1	𝜶.46.6
MN528105.1	𝜶.171
KF835913.1	𝜶.89
KT887523.1	𝜶.103
U62150.1	𝜶.34.2
MZ913003.1	𝜶.31.34
KT695052.1	𝜶.1.10
KF835916.1	𝜶.90.4
MT025935.1	𝜶.41.1
JQ423905.1	𝜶.74.1
KP881890.1	𝜶.1.28
MG181373.1	𝜶.1.4
MK227940.1	𝜶.114.2
OM362094.1	𝜶.96.5
OQ411033.1	𝜶.121.2
LC727979.1	𝜶.27.24
EU636927.1	𝜶.30.2
KJ412822.1	𝜶.3.5
MF940653.1	𝜶.41.1
LC095911.1	𝜶.18.2
JN258954.1	𝜶.1.8
KC443590.1	𝜶.2.8
MN478773.1	𝜶.1.20
KC175075.1	𝜶.49.2
KX420942.1	𝜶.118.2
MT364838.1	𝜶.35.5
L07934.1	𝜶.58
KX363402.1	𝜶.18.7
AB454420.1	𝜶.9.1
KF447842.1	𝜶.18.4
LC591085.1	𝜶.27.8
MK227934.1	𝜶.159.1
KF690128.1	𝜶.45.1
JN635557.1	𝜶.1.8
LC088221.1	𝜶.136
OQ440212.1	𝜶.221
FJ947178.1	𝜶.1.10
MK606442.1	𝜶.96.3
MW575220.1	𝜶.69.6
KC769473.1	𝜶.1.25
MW254164.1	𝜶.35.5
ON315845.1	𝜶.49.4
HQ834199.1	𝜶.54
MG407648.1	𝜶.39.2
JX070050.1	𝜶.55.2
LC499708.1	𝜶.31.9
KX363424.1	𝜶.18.19
OM366092.1	𝜶.192.4
KF726067.1	𝜶.18.13
KY971955.1	𝜶.131
OM366098.1	𝜶.192.3
KJ919655.1	𝜶.3.11
JN903521.1	𝜶.22.5
AB924087.1	𝜶.23
JF712580.1	𝜶.22.1
KJ412844.1	𝜶.6.1
ON059907.1	𝜶.204
KX655454.1	𝜶.20.8
AB741652.1	𝜶.19
HM627545.2	𝜶.67
KU317469.1	𝜶.46.1
MG181395.1	𝜶.1.4
JN827247.1	𝜶.38.2
KU243621.1	𝜶.107
MW752841.1	𝜶.184
KJ752064.1	𝜶.27.19
KU708257.1	𝜶.112
MH624176.1	𝜶.147.3
OQ326592.1	𝜶.192.2
KP753125.1	𝜶.98
KU243606.1	𝜶.107
LC061623.1	𝜶.18.6
OK651090.1	𝜶.7.1
KX268746.1	𝜶.117
KX212869.1	𝜶.115
KC579567.1	𝜶.1.7
EF554151.1	𝜶.47.4
AY050271.1	𝜶.32
MH238289.1	𝜶.150.1
MF940655.1	𝜶.41.1
OM366093.1	𝜶.157.6
KC443314.1	𝜶.2.9
FJ347103.1	𝜶.55.3
OR127199.1	𝜶.69.4
KU363153.1	𝜶.39.1
U07753.1	𝜶.2.5
KJ820839.1	𝜶.3.5
EF672563.1	𝜶.47.2
LC499713.1	𝜶.31.9
D13392.1	𝜶.31.6
MK026438.1	𝜶.69.2
KJ412909.1	𝜶.3.6
OR192580.1	𝜶.228
KX265693.1	𝜶.46.1
MW771120.1	𝜶.27.19
D13396.1	𝜶.27.1
KJ751925.1	𝜶.31.27
AB486010.1	𝜶.9.2
OQ538341.1	𝜶.115
MK250427.1	𝜶.31.8
OP963639.1	𝜶.88.1
AB763962.1	𝜶.2.5
LC208548.1	𝜶.139
MK953573.1	𝜶.20.5
KC895815.1	𝜶.27.13
KC178792.1	𝜶.2.4
MW254168.1	𝜶.35.5
MW254170.1	𝜶.35.5
KU363154.1	𝜶.39.1
MH910077.1	𝜶.69.3
MT271026.1	𝜶.93
LC499706.1	𝜶.31.9
AB222785.1	𝜶.1.15
AB573874.1	𝜶.16
OM366089.1	𝜶.157.2
LC095955.1	𝜶.137
OQ440223.1	𝜶.222.1
AB971763.1	𝜶.26
JN651865.1	𝜶.1.8
AB513836.1	𝜶.10
Y00127.1	𝜶.7.1
MT364871.1	𝜶.35.5
KX363331.1	𝜶.121.3
LC119107.1	𝜶.29.1
JX567754.1	𝜶.78
MH238274.1	𝜶.150.1
LC591047.1	𝜶.31.5
KT281123.1	𝜶.47.5
OP169135.1	𝜶.31.19
KT935478.1	𝜶.105
MW292232.1	𝜶.47.3
KC174913.1	𝜶.49.2
OM212042.1	𝜶.27.4
LC088110.1	𝜶.134
JN831212.1	𝜶.27.9
MT796872.1	𝜶.2.8
LC000536.1	𝜶.18.6
EU708574.1	𝜶.3.1
MW771163.1	𝜶.31.17
M58292.1	𝜶.2.6
AB573876.1	𝜶.17.1
MH238275.1	𝜶.150.2
LC467890.1	𝜶.22.2
LC499732.1	𝜶.27.12
MK227936.1	𝜶.114.1
MH568759.1	𝜶.102.2
AF143408.2	𝜶.28.3
AB008278.1	𝜶.1.4
MH697616.1	𝜶.147.2
AB573646.1	𝜶.13.1
KX268768.1	𝜶.117
OM366088.1	𝜶.157.4
GU937880.1	𝜶.28.4
MT025912.1	𝜶.175
AF260932.1	𝜶.1.15
JF421978.1	𝜶.3.4
AB749200.1	𝜶.20.8
KF835915.1	𝜶.90.5
KM820722.1	𝜶.41.2
LC467813.1	𝜶.22.3
ON059846.1	𝜶.204
OQ326591.1	𝜶.192.2
MK953605.1	𝜶.20.5
MG181428.1	𝜶.1.4
MH898990.1	𝜶.69.3
LC467901.1	𝜶.22.2
LC326507.1	𝜶.35.10
LC001907.1	𝜶.2.5
OQ807043.1	𝜶.27.4
KC175064.1	𝜶.49.2
KC815661.1	𝜶.27.14
KF907294.1	𝜶.6.1
MK227401.1	𝜶.130
KU714458.1	𝜶.113
OM982773.1	𝜶.201
LC001905.1	𝜶.2.5
DQ005122.1	𝜶.20.6
MN477228.1	𝜶.171
MN528119.1	𝜶.171
U62151.1	𝜶.34.1
MN478767.1	𝜶.2.8
MK227948.1	𝜶.18.17
MH238277.1	𝜶.148
KC960622.1	𝜶.85
MK227950.1	𝜶.18.10
LC727728.1	𝜶.7.4
KC175162.1	𝜶.49.2
KC580008.1	𝜶.1.7
LC499715.1	𝜶.27.22
L19712.1	𝜶.35.2
ON059850.1	𝜶.205
AY047488.1	𝜶.31.33
KP006509.1	𝜶.8.2
MT198753.1	𝜶.176
MH769726.1	𝜶.46.6
DQ838605.1	𝜶.7.3
LC499740.1	𝜶.141.1
D13394.1	𝜶.31.7
LC467857.1	𝜶.22.2
MT784812.1	𝜶.179
KC113250.1	𝜶.79.2
EU486962.1	𝜶.52
OK651091.1	𝜶.7.1
OP963661.1	𝜶.215
JF304929.1	𝜶.2.7
KC895847.1	𝜶.31.22
ON989016.1	𝜶.208
AB055967.1	𝜶.5
LC055550.1	𝜶.132
LC499742.1	𝜶.141.1
MH238285.1	𝜶.150.1
OP169138.1	𝜶.31.29
KP902547.1	𝜶.11.3
KR632621.1	𝜶.6.2
KC488888.1	𝜶.31.18
LC469333.1	𝜶.20.10
OQ504190.1	𝜶.224
ON221574.1	𝜶.43.1
KT934651.1	𝜶.104
KF907295.1	𝜶.6.1
MW254180.1	𝜶.3.10
MN433620.1	𝜶.170
KU740029.1	𝜶.114.4
OQ440183.1	𝜶.219
D13400.1	𝜶.35.2
ON676183.1	𝜶.79.1
OL988923.1	𝜶.189
KY113331.1	𝜶.54
D13395.1	𝜶.28.2
MZ054767.1	𝜶.186
OR192591.1	𝜶.228
HQ661115.1	𝜶.35.3
LC328213.1	𝜶.35.3
OM982738.1	𝜶.198
LC467868.1	𝜶.22.2
OM450958.1	𝜶.197
LC133550.1	𝜶.31.7
KT873811.1	𝜶.102.1
LC095933.1	𝜶.18.2
MK227939.1	𝜶.114.1
KX363392.1	𝜶.122
LC591088.1	𝜶.31.5
MK936416.1	𝜶.168
KJ751638.1	𝜶.20.6
JX094031.1	𝜶.31.2
AB972859.1	𝜶.27.1
KX268757.1	𝜶.117
OP650547.1	𝜶.209
OQ291258.1	𝜶.216
JF796704.1	𝜶.70
MT198747.1	𝜶.18.21
LC638701.1	𝜶.144
LC591090.1	𝜶.142
KT695096.1	𝜶.1.10
KP752530.1	𝜶.11.2
OL988947.1	𝜶.27.21
MN029129.1	𝜶.3.9
OQ440160.1	𝜶.218
AB924109.1	𝜶.13.2
MG570048.1	𝜶.18.20
LC591033.1	𝜶.27.7
MT226637.1	𝜶.30.2
MK751435.1	𝜶.166
LC088128.1	𝜶.135
LC499739.1	𝜶.141.1
KU243627.1	𝜶.3.1
KJ412534.1	𝜶.6.1
LC576611.1	𝜶.88.4
AB008307.1	𝜶.1.22
EF672577.1	𝜶.2.8
MN937509.1	𝜶.165
MN529964.1	𝜶.173
HQ661126.1	𝜶.35.3
OQ504189.1	𝜶.69.8
ON988156.1	𝜶.207
OK651093.1	𝜶.187
OQ981103.1	𝜶.227
KF636348.1	𝜶.20.6
AB008287.1	𝜶.1.24
KP258401.1	𝜶.34.4
MK597985.1	𝜶.164
LC499733.1	𝜶.27.12
KC580482.1	𝜶.1.10
AB749205.1	𝜶.20.8
ON315846.1	𝜶.49.4
KX363359.1	𝜶.121.3
AB222786.1	𝜶.1.15
MN067458.1	𝜶.46.4
KP882473.1	𝜶.29.2
KP882715.1	𝜶.20.7
LC591075.1	𝜶.27.7
JN831223.1	𝜶.73
KJ412601.1	𝜶.6.1
EF672556.1	𝜶.48
Y00336.1	𝜶.7.3
OQ504195.1	𝜶.225
GU565088.1	𝜶.27.11
JF693084.1	𝜶.65
MN477239.1	𝜶.171
KT887534.1	𝜶.7.6
MW722696.1	𝜶.1.27
LC328210.1	𝜶.35.8
LC499738.1	𝜶.31.1
ON012977.1	𝜶.31.8
OM366103.1	𝜶.195
KF835918.1	𝜶.90.4
MZ027413.1	𝜶.185
AB770153.1	𝜶.21
JQ863312.1	𝜶.48
MW280940.1	𝜶.3.11
MN528091.1	𝜶.172
KC815683.1	𝜶.22.3
MH568748.1	𝜶.102.3
MN067447.1	𝜶.55.1
EU486958.2	𝜶.51.3
MK936414.1	𝜶.167
KC895859.1	𝜶.84.2
MN365904.1	𝜶.50.1
KC895849.1	𝜶.31.22
LC088099.1	𝜶.133
MK597974.1	𝜶.164
KU243632.1	𝜶.107
KC895845.1	𝜶.83.1
AF076925.1	𝜶.20.4
FJ435204.2	𝜶.3.12
LC499712.1	𝜶.31.9
MT198756.1	𝜶.178
OQ440186.1	𝜶.218
OL956956.1	𝜶.188
KX988278.1	𝜶.128
MT234354.1	𝜶.31.11
JF693095.1	𝜶.65
MW254183.1	𝜶.95.2
MN478785.1	𝜶.20.9
KC895826.1	𝜶.27.25
ON377050.1	𝜶.22.4
ON315841.1	𝜶.49.3
KC175086.1	𝜶.49.1
KU962131.1	𝜶.7.7
KX257407.1	𝜶.116
MT198754.1	𝜶.177
KU243629.1	𝜶.107
KJ412855.1	𝜶.3.6
U16299.1	𝜶.20.4
ON504858.1	𝜶.206
AB924098.1	𝜶.24
LC499728.1	𝜶.31.3
AY740738.1	𝜶.34.5
MK227932.1	𝜶.159.2
AF361438.1	𝜶.29.1
KU128895.1	𝜶.106
MK302433.1	𝜶.162
AY596189.1	𝜶.33
D13393.1	𝜶.31.16
KY634817.1	𝜶.39.2
LC591003.1	𝜶.31.31
KC895850.1	𝜶.31.22
HM627556.1	𝜶.68
DQ838604.1	𝜶.7.3
MW254171.1	𝜶.18.1
KY905315.1	𝜶.130
KC174880.1	𝜶.49.1
KC895843.1	𝜶.56.1
LC340011.1	𝜶.8.1
D14367.1	𝜶.31.16
JF693040.1	𝜶.7.3
JF712569.1	𝜶.22.1
OM366090.1	𝜶.157.3
LC133528.1	𝜶.28.1
KJ753404.1	𝜶.1.5
KY426812.1	𝜶.8.6
MH137266.1	𝜶.147.1
KC610703.1	𝜶.81.2
KC174946.1	𝜶.49.1
KX988267.1	𝜶.128
D38052.1	𝜶.39.3
OM366095.1	𝜶.192.4
KU508383.1	𝜶.46.2
MH238288.1	𝜶.154
KF035110.1	𝜶.86
JX274502.1	𝜶.38.2
MW254181.1	𝜶.181
LC001901.1	𝜶.2.8
MW771152.1	𝜶.31.23
FJ169856.1	𝜶.50.1
OQ440197.1	𝜶.90.2
KC412049.1	𝜶.80.1
MK410284.1	𝜶.96.8
AB573880.1	𝜶.18.16
MG781055.1	𝜶.18.9
LC460222.1	𝜶.22.3
KX814954.1	𝜶.127.1
MN102368.1	𝜶.169
KC579589.1	𝜶.1.9
EU708937.1	𝜶.35.11
KU243622.1	𝜶.108
EU708904.1	𝜶.35.2
LC438918.1	𝜶.30.2
LC499736.1	𝜶.27.12
GQ496229.1	𝜶.65
AB008306.1	𝜶.1.34
U62149.1	𝜶.34.6
LC553598.1	𝜶.31.12
OM982814.1	𝜶.203
MN539287.1	𝜶.170
LC438917.1	𝜶.30.2
MK692880.1	𝜶.104
KC215543.1	𝜶.65
D14032.1	𝜶.36
FJ435203.2	𝜶.3.19
KC579534.1	𝜶.1.33
KM820719.1	𝜶.75.1
OK651092.1	𝜶.187
FJ435205.3	𝜶.3.12
ON191599.1	𝜶.3.23
KJ412800.1	𝜶.3.6
MK953555.1	𝜶.20.5
D16346.1	𝜶.38.2
LC591001.1	𝜶.31.1
KC579671.1	𝜶.1.17
OQ504192.1	𝜶.120.2
MK227947.1	𝜶.114.5
JX204825.1	𝜶.51.3
KJ412567.1	𝜶.91
OL988983.1	𝜶.31.24
DQ242615.1	𝜶.42
OP169139.1	𝜶.27.4
AB971775.1	𝜶.26
OQ326590.1	𝜶.192.2
LC438382.1	𝜶.1.15
MT198751.1	𝜶.121.1
AB008279.1	𝜶.1.23
EF672591.1	𝜶.2.6
MH267274.1	𝜶.157.1
KX655509.1	𝜶.11.5
EU486956.1	𝜶.50.1
MN528104.1	𝜶.172
KR086410.1	𝜶.100.1
KC769374.1	𝜶.82
JX204814.1	𝜶.77
ON059847.1	𝜶.204
MK379340.1	𝜶.163
DQ838603.1	𝜶.7.3
OQ504196.1	𝜶.226
AB008283.1	𝜶.1.32
L11599.1	𝜶.54
OM416832.1	𝜶.196
KF835920.1	𝜶.90.1
JQ993319.1	𝜶.75.2
JF790309.1	𝜶.1.30
LC467802.1	𝜶.22.3
LC591083.1	𝜶.27.7
JX878647.2	𝜶.3.19
GQ398013.1	𝜶.64
MT226615.1	𝜶.30.2
LC190489.1	𝜶.138
MW720861.1	𝜶.88.2
OL989007.1	𝜶.191
AB009632.2	𝜶.4.1
EF554096.1	𝜶.45.2
KX268790.1	𝜶.119.1
MH238267.1	𝜶.148
JX567758.1	𝜶.78
KY905314.1	𝜶.130
LC591016.1	𝜶.27.10
MW720870.1	𝜶.88.2
JF990808.1	𝜶.65
OQ333047.1	𝜶.217
AB971777.1	𝜶.26
LC095889.1	𝜶.18.2
MZ913004.1	𝜶.31.20
MW771174.1	𝜶.31.23
MH238282.1	𝜶.152
LC133517.1	𝜶.28.1
FJ550368.1	𝜶.38.1
KY748311.1	𝜶.18.14
KJ803838.1	𝜶.7.5
LC328214.1	𝜶.3.17
MH308719.1	𝜶.158
EF672605.1	𝜶.3.13
LC634425.1	𝜶.143
KU956009.1	𝜶.8.2
MK953582.1	𝜶.20.5
LC591005.1	𝜶.31.1
AB733131.2	𝜶.2.2
D38054.1	𝜶.39.6
HM773912.1	𝜶.1.9
LC133572.1	𝜶.31.6
LC591035.1	𝜶.27.7
OQ440172.1	𝜶.90.6
KC140588.1	𝜶.66
MG518480.1	𝜶.146
KC895831.1	𝜶.27.15
JQ085405.1	𝜶.50.2
JX156399.2	𝜶.76
KX548933.1	𝜶.38.2
U53923.1	𝜶.27.6
KJ412623.1	𝜶.3.6
GU565077.1	𝜶.27.11
KX814922.1	𝜶.125
KU243626.1	𝜶.108
KX814943.1	𝜶.127.2
LC591049.1	𝜶.31.5
MN937507.1	𝜶.165
KY748310.1	𝜶.18.18
KF726034.1	𝜶.18.5
LC553620.1	𝜶.31.12
ON059848.1	𝜶.204
KX778615.1	𝜶.124
M23188.1	𝜶.38.2
MT198755.1	𝜶.17.2
MN528078.1	𝜶.172
OP169137.1	𝜶.27.4
KJ875794.1	𝜶.35.3
KP752880.1	𝜶.31.23
KF835917.1	𝜶.90.3
OM366096.1	𝜶.192.1
LC499709.1	𝜶.31.10
MT784807.1	𝜶.179
ON791605.1	𝜶.1.35
HG513048.1	𝜶.39.2
KF835914.1	𝜶.90.4
OP947222.1	𝜶.213
KF541284.1	𝜶.87
AB573878.1	𝜶.17.1
OL988971.1	𝜶.189
JX402794.1	𝜶.31.26
MG181659.1	𝜶.1.12
KC442988.1	𝜶.1.21
FJ347125.1	𝜶.57
JN872868.1	𝜶.22.1
LC499735.1	𝜶.31.4
JQ069674.1	𝜶.1.19
OL988935.1	𝜶.31.24
LC591094.1	𝜶.27.20
FJ495129.1	𝜶.47.6
LC208009.1	𝜶.39.4
MW722717.1	𝜶.183
GU296426.1	𝜶.3.24
OQ504188.1	𝜶.223
M92986.1	𝜶.31.7
LC591022.1	𝜶.31.30
LC095922.1	𝜶.18.12
LC061622.1	𝜶.18.6
OL988995.1	𝜶.190
MT234361.1	𝜶.47.2
MN937515.1	𝜶.27.2
KC895838.1	𝜶.84.1
OR125127.1	𝜶.27.11
KF835919.1	𝜶.89
KC895811.1	𝜶.27.13
AJ540228.1	𝜶.1.16
KF636259.1	𝜶.73
GU984756.1	𝜶.46.6
OM982760.1	𝜶.199
MH238272.1	𝜶.151.1
KC895841.1	𝜶.56.1
KP198648.1	𝜶.60.2
AJ540229.1	𝜶.1.31
L33895.1	𝜶.20.9
EU708915.1	𝜶.35.4
MW254182.1	𝜶.182
MN029118.1	𝜶.3.18
KC579762.1	𝜶.1.13
LC704667.1	𝜶.145.2
M63267.1	𝜶.27.23
MT025913.1	𝜶.175
M60600.1	𝜶.48
LC591007.1	𝜶.31.32
LC591097.1	𝜶.27.20
OM982749.1	𝜶.198
GU320751.2	𝜶.3.20
OM366102.1	𝜶.27.5
MH668310.1	𝜶.102.2
FJ031027.1	𝜶.54
AB573648.1	𝜶.14
KU714447.1	𝜶.11.4
MN937514.1	𝜶.165
ON012966.1	𝜶.31.8
ON711387.1	𝜶.31.8
MK638873.1	𝜶.165
KJ725020.1	𝜶.51.2
EF554140.1	𝜶.46.2
KU587856.1	𝜶.111
OQ504193.1	𝜶.225
OM982774.1	𝜶.202.1
KJ412680.1	𝜶.3.6
JQ004973.1	𝜶.54
KP941127.1	𝜶.20.7
MN365937.1	𝜶.52
JN831234.1	𝜶.27.9
JX567755.1	𝜶.78
LC119096.1	𝜶.29.1
MN528090.1	𝜶.171
FJ361204.1	𝜶.58
KM820720.1	𝜶.97
MH238287.1	𝜶.153
MK376895.1	𝜶.31.13
KJ753815.1	𝜶.2.11
OM366097.1	𝜶.193
MH697627.1	𝜶.147.2
JQ289055.1	𝜶.3.2
LC590999.1	𝜶.31.1
OQ440209.1	𝜶.220
KY055430.1	𝜶.129
FV537176.1	𝜶.63
JF796726.1	𝜶.70
MN556677.1	𝜶.174
KT727244.1	𝜶.101
LC433799.1	𝜶.66
OM982772.1	𝜶.200
JN129097.1	𝜶.72
JX027618.1	𝜶.3.8
KX814933.1	𝜶.126
OM366100.1	𝜶.27.17
LC095944.1	𝜶.18.12
FN665680.1	𝜶.60.1
FN665691.1	𝜶.61
MW771196.1	𝜶.31.27
OP963650.1	𝜶.214
GU181281.1	𝜶.31.7
GU199520.1	𝜶.66
OM982715.1	𝜶.96.7
GU296427.1	𝜶.3.14
KX362692.1	𝜶.18.7
LC553587.1	𝜶.31.28
KX268779.1	𝜶.118.1
GU827409.1	𝜶.3.11
OP169136.1	𝜶.31.8
OK185347.1	𝜶.104
OM366091.1	𝜶.157.5
D16341.1	𝜶.37
AB853893.1	𝜶.8.5
AB573650.1	𝜶.15
ON059849.1	𝜶.205
OM982775.1	𝜶.203
FJ998273.1	𝜶.20.4
JF304918.1	𝜶.2.10
MG926769.1	𝜶.113
GU565055.1	𝜶.27.11
U62152.1	𝜶.74.2
KX880437.1	𝜶.3.4
MN481633.1	𝜶.104
AB008291.1	𝜶.1.18
OQ440236.1	𝜶.222.2
OL988911.1	𝜶.27.18
OL988959.1	𝜶.189
MW254163.1	𝜶.35.9
KJ411435.1	𝜶.47.1
D13401.1	𝜶.35.4
KF649187.1	𝜶.88.3
HC494678.1	𝜶.1.15
FV537174.1	𝜶.62
EU805773.1	𝜶.53
MW771130.1	𝜶.27.19
OQ326589.1	𝜶.192.2
MT163235.1	𝜶.20.11
AF076926.1	𝜶.20.4
KC580349.1	𝜶.1.9
LC088118.1	𝜶.51.1
LC591043.1	𝜶.31.5
LC591020.1	𝜶.27.10
LC367317.1	𝜶.140
KC895837.1	𝜶.83.2
KT878993.1	𝜶.103
ON315843.1	𝜶.49.5
DQ629926.1	𝜶.44
EU708893.1	𝜶.35.1
LC095900.1	𝜶.39.7
KM820718.1	𝜶.96.4
FJ347114.1	𝜶.56.2
D14725.1	𝜶.35.2
OQ440225.1	𝜶.221
OM366099.1	𝜶.194
AB971758.1	𝜶.25
AB008281.1	𝜶.1.26
LC591018.1	𝜶.27.10
LC591045.1	𝜶.31.5
LC340022.1	𝜶.35.7
MH238290.1	𝜶.155
KJ187602.1	𝜶.3.11
MT198752.1	𝜶.121.1
KF726056.1	𝜶.18.11
LC499741.1	𝜶.31.21
AB158430.1	𝜶.8.3
GU189554.1	𝜶.18.15
JX036368.1	𝜶.30.1
LC704656.1	𝜶.145.1
OP680457.1	𝜶.210
GU199495.1	𝜶.66
KP882187.1	𝜶.99
MT784814.1	𝜶.180
KC895822.1	𝜶.27.16
MW771185.1	𝜶.31.23
MK227937.1	𝜶.161
KU740009.1	𝜶.114.3
MK936415.1	𝜶.167
MH238268.1	𝜶.149
KU243631.1	𝜶.110
AB008288.1	𝜶.1.14
MK227935.1	𝜶.160
DQ061053.1	𝜶.40
EF554129.1	𝜶.46.7
KJ870903.1	𝜶.93
LC328211.1	𝜶.35.1
KC412048.1	𝜶.80.3
KX363348.1	𝜶.120.1
KM254181.1	𝜶.95.1
LC591014.1	𝜶.31.14
ON315842.1	𝜶.49.3
KC895860.1	𝜶.84.1
KC579600.1	𝜶.1.9
MT276804.1	𝜶.3.16
FJ816611.1	𝜶.33
LC336589.1	𝜶.8.4
KC610681.1	𝜶.81.1
MH238271.1	𝜶.151.1
D90260.1	𝜶.3.15
OQ504194.1	𝜶.69.1
MH238281.1	𝜶.39.5
MH238278.1	𝜶.151.2
LC553631.1	𝜶.31.28
D14726.1	𝜶.35.1
MT198749.1	𝜶.96.6
MT198757.1	𝜶.96.1
LC328184.1	𝜶.3.7
D16352.1	𝜶.4.2
MT198750.1	𝜶.96.6
KJ879451.1	𝜶.94
OP718290.1	𝜶.211
LC328215.1	𝜶.3.17
MN937508.1	𝜶.165
AB526248.1	𝜶.3.7
JF796737.1	𝜶.71
LC438393.1	𝜶.2.2
LC433788.1	𝜶.39.8
DQ288661.1	𝜶.43.2
MW771141.1	𝜶.31.23
EU708926.1	𝜶.35.2
EF554107.1	𝜶.46.3
MH910066.1	𝜶.69.2
LC133561.1	𝜶.31.16
JF781161.1	𝜶.69.7
KP753009.1	𝜶.92.2
AB571047.1	𝜶.12
MN937516.1	𝜶.27.4
JF796715.1	𝜶.70
OP971578.1	𝜶.80.2
OR205358.1	𝜶.229
KX363330.1	𝜶.120.1
LC591069.1	𝜶.31.14
