AB608789.1|1994	1I
KY670633.1|1995-09	2III_A.2
MH069499.1|2015-09-22	2III_D.2
MH781013.1|2012	2III_D.1
MK517773.1|2017-03-28	2III_C.1.1
MN462632.1|2015-10-04	2III_D.3
MN462633.1|2015-04-28	2III_D.3
MN462636.1|2015-05-27	2III_D.3
MN589880.1|1999-04-09	2III_B
MW946461.1|1988	2III_A
MZ008461.1|2013	2III_D.1.2
MZ773408.1|2019-09	2III_D.2
OK469346.1|1981	2III
OM505022.1|2021-09-21	2III_D.1.2
ON123621.1|2021-02-15	2III_C
ON510270.1|2021-05-10	2III_D.2
ON634720.1|2021-02-22	2III_C.1.1
ON634740.1|2022-03-28	2III_C.1.1
ON634741.1|2022-04-25	2III_C.1.1
ON634744.1|2022-03-11	2III_C.1.1
ON634752.1|2022-03-17	2III_C.1.1
ON714337.1|2015-01-29	2III_D.2
OQ445886.1|2022-08-17	2III_C.2
OQ445887.1|2022-08-16	2III_C.2
OQ445892.1|2022-09-27	2III_D.1.1
OQ445894.1|2022-10-27	2III_C.2
OQ740547.1|2022-03-31	2III_C.1.2
OQ740551.1|2022-04-08	2III_C.1.2
OQ740552.1|2022-04-13	2III_C.1.2
OQ740553.1|2022-05-11	2III_C.1.2
OQ821445.1|2019-11-13	2III_C.2
OQ821456.1|2022-06-20	2III_D.1.1
OQ821459.1|2022-06-28	2III_D.1.1
OQ821468.1|2022-08-18	2III_C.2
OQ821475.1|2015-10-28	2III_C.1.2
OQ821483.1|2019-08-19	2III_D.1.2
OQ821485.1|2022-07-06	2III_D.1.2
OQ821495.1|2014-02-09	2III_C.2
OQ821497.1|2019-08-29	2III_D.1.2
KF744399.1|1998	2IV
KF744400.1|2000	2IV
KF744402.1|2000	2IV
KF744407.1|1996	2IV
OK469347.1|1988	2IV
OK605760.1|1988	2IV
DQ181803.1|1985	2V
FJ639828.1|2001	2V_E
FJ687436.1|2001	2V_E
GQ868591.1|1964	2V
JN368476.1|2007	2V_A
KC964095.1|1998	2V_D
KY586595.1|2004	2V_A.3
KY586667.1|2001	2V_C
KY586675.1|1995	2V
KY586678.1|2002	2V_D
KY586686.1|2000	2V_D
KY586688.1|1998	2V_D
KY586690.1|1999	2V_B
KY586692.1|2001	2V_B
KY849765.1|2009-11-06	2V_A.3
KY849768.1|2010-08-13	2V_A.3
MN018366.1|2015-12-30	2V_A.1
MN448874.1|2011-09-20	2V_A.4
MN448883.1|2011-09-23	2V_A.4
MN448904.1|2010-09-15	2V_A.4
MN448920.1|2011	2V_A.3
MN923115.1|2019-05-31	2V_A.2
MN923122.1|2019-09-01	2V_A.2
MW946279.1|2001	2V_C
MW946284.1|1995	2V_D
MW946367.1|2010	2V_A.4
MW946369.1|1994	2V_C
MW946420.1|1996	2V_A
MW946422.1|1994	2V
MW946428.1|2001	2V_C
MW946449.1|2014	2V_E
MW946460.1|1997	2V_B
MW946473.1|1999	2V_B
MW946509.1|1998	2V_C
MW946510.1|2011	2V_A.3
MW946517.1|2005	2V_E
MW946551.1|1997	2V_B
MW946554.1|2011	2V_A.3
MW946590.1|1997	2V_C
MW946595.1|2005	2V_E
MW946602.1|2011	2V_A.4
MZ453007.1|2019	2V_A
OK469345.1|1985	2V
OL414734.1|2020-06	2V_A.2
OL414761.1|2019-08	2V_A.2
OP684188.1|2018-09-20	2V_A.2
OP684189.1|2018-09-30	2V_A.1
OQ028221.1|2019-11-13	2V_A.1
OQ028222.1|2019-06-25	2V_A.1
OQ028228.1|2019-06-26	2V_A.1
OQ028229.1|2017-08-03	2V_A
EF105379.1|1970	2VI
EF105385.1|1974	2VI
EF105386.1|1980	2VI
EF105388.1|1966	2VI
FJ467493.1|2008	2VI
JF260983.1|2009	2VI
