NC_011502.2	N5
MH238114.1	N1
MH238115.1	N1
MH238119.1	N1
MH238120.1	N1
MH238121.1	N1
MH238122.1	N1
LC438386.1	N1
MH933789.1	N1
LC438397.1	N2
MH700489.1	N1
MG996113.1	N2
MG996116.1	N2
MH568752.1	N4
MH568763.1	N4
MH910070.1	N1
MH910081.1	N1
MH668303.1	N4
MG214333.1	N2
MG781038.1	N1
MG781048.1	N1
LC389881.1	N1
MF940673.1	N2
MF940674.1	N2
MF940675.1	N2
MF940676.1	N2
MF940677.1	N2
MF940729.1	N1
MF940732.1	N1
MG571802.1	N1
KX420945.1	N8
LC367321.1	N2
LC340017.1	N2
LC340028.1	N2
LC326513.1	N3
LC328196.1	N3
LC328197.1	N3
MH137273.1	N1
KY937199.1	N1
KY657950.1	N2
KY657951.1	N2
KY657952.1	N2
KY657953.1	N2
LC328249.1	N3
LC328250.1	N3
LC328251.1	N3
MF462317.1	N1
KX265686.1	N2
KU714440.1	N1
KU714451.1	N2
KY113327.1	N2
KY113343.1	N2
KX655458.1	N2
KY055423.1	N1
KY055434.1	N2
KY077647.1	N1
KY972324.1	N2
MF168099.1	N2
MF168220.1	N2
MF184783.1	N1
KX988271.1	N1
KX988282.1	N1
KX185116.1	N6
KX185119.1	N6
KX185122.1	N6
KX185123.1	N6
KX185124.1	N6
KX185125.1	N6
LC095895.1	N1
LC095917.1	N1
LC095928.1	N1
LC095950.1	N1
KX814928.1	N3
KX814949.1	N3
KX814960.1	N3
KU956013.1	N2
KU739908.1	N1
KU739913.1	N1
KU739923.1	N1
KU739933.1	N1
KU739943.1	N1
KU739953.1	N1
KU739963.1	N1
KU740003.1	N1
KU740015.1	N1
KU740023.1	N1
KY426804.1	N2
KY053150.1	N1
KY053215.1	N1
KX212883.1	N2
KX548930.1	N2
LC190493.1	N1
LC095906.1	N1
LC095961.1	N2
KU962135.1	N2
KU508376.1	N2
KT695023.1	N1
KT695089.1	N1
KU292526.1	N2
KU292537.1	N2
KX024674.1	N2
KX024685.1	N2
LC133521.1	N2
LC133532.1	N2
LC133554.1	N2
LC133565.1	N2
KX398370.1	N3
KU597751.1	N3
KU128899.1	N2
KX268783.1	N8
KU363135.1	N1
KU363136.1	N1
KU360989.1	N3
KU360990.1	N3
KU360991.1	N3
KU360992.1	N3
KU360993.1	N3
KX362641.1	N2
KX363285.1	N1
KX363311.1	N1
KX363322.1	N1
KX363338.1	N1
KX363363.1	N1
KX363374.1	N1
KX363385.1	N1
KX363439.1	N1
KT934655.1	N4
KT281127.1	N2
KU243413.1	N3
KU243432.1	N3
LC119100.1	N2
LC119111.1	N2
KT873804.1	N4
KP231501.1	N2
KP231502.1	N2
KU708263.1	N2
KU587861.1	N6
KT919443.1	N2
KP882435.1	N2
KP882479.1	N2
KP882633.1	N2
KP882897.1	N2
KP882930.1	N2
KP882996.1	N2
KP883029.1	N2
KP883084.1	N2
KP883128.1	N2
LC060821.1	N2
KM393174.1	N1
LC088103.1	N4
LC088121.1	N4
LC088134.1	N6
LC028937.1	N1
LC065024.1	N2
LC055554.1	N2
KR086414.1	N9
KF726040.1	N1
KF726062.1	N1
KF726073.1	N1
KR052721.1	N1
KR052731.1	N1
KP752760.1	N1
KP752761.1	N1
KP752841.1	N1
KP752852.1	N1
KP752873.1	N2
KP752895.1	N2
KP752918.1	N1
KP752953.1	N1
KP752954.1	N1
KP753001.1	N1
KP753057.1	N1
KP753117.1	N1
KP753185.1	N1
KP753186.1	N1
KP258405.1	N2
AB908908.1	N2
AB924091.1	N1
AB924102.1	N1
AB924113.1	N1
KJ482274.1	N1
KJ482275.1	N1
KJ482276.1	N1
KJ482277.1	N1
KJ482278.1	N1
KJ482279.1	N1
KJ482280.1	N1
KJ482281.1	N1
KJ482283.1	N1
KJ482285.1	N1
KJ482286.1	N1
KJ482289.1	N1
KJ482290.1	N1
KJ482291.1	N1
KJ482293.1	N1
KJ482295.1	N1
KJ482298.1	N1
KJ482299.1	N1
KJ875798.1	N2
KJ454635.1	N1
KJ454637.1	N1
KP006513.1	N2
KM026606.1	N1
KM026608.1	N1
KM026609.1	N1
KM026615.1	N1
KM026619.1	N1
KM026620.1	N1
KM026625.1	N1
KM026629.1	N1
KM026642.1	N1
KM026643.1	N1
KM026663.1	N1
KM026664.1	N1
KJ820832.1	N3
KJ820843.1	N2
KJ820854.1	N3
KJ820876.1	N1
LC000540.1	N1
KJ020888.1	N3
KM820667.1	N1
KM820668.1	N1
KM820669.1	N1
KM820670.1	N1
KM820672.1	N1
KM820673.1	N1
KF907257.1	N3
KJ411439.1	N2
KJ725024.1	N4
KJ879455.1	N2
KJ918920.1	N2
KJ918972.1	N1
KF680474.2	N1
KJ940158.1	N2
AB972863.1	N2
JX442795.1	N2
KJ870907.1	N1
KJ748472.1	N2
KJ748483.1	N2
KJ450850.1	N1
KC822934.1	N2
KC822940.1	N1
KC610685.1	N1
KC610696.1	N1
KC610707.1	N1
KJ753136.1	N1
KJ753680.1	N1
KJ753688.1	N1
KJ751918.1	N2
KJ752477.1	N1
KJ752478.1	N1
KJ752537.1	N1
KJ752614.1	N2
AB853897.1	N2
KF035103.1	N1
JX629047.1	N1
KJ126815.1	N1
KF371726.1	N1
KF371901.1	N1
KF371933.1	N1
KJ626542.1	N1
KJ626878.1	N1
KJ559036.1	N1
KJ559093.1	N1
KJ412560.1	N1
KJ412571.1	N3
KJ412594.1	N3
KJ412627.1	N1
KJ412673.1	N3
KJ412782.1	N1
KJ412826.1	N1
KJ187595.1	N2
KF500515.1	N2
KF729668.1	N2
KF690132.1	N2
AB770159.1	N1
KC870007.1	N2
KF577845.1	N2
JX683627.1	N1
KC960626.1	N3
KF447846.1	N1
KF447857.1	N1
KF636307.1	N2
KC815665.1	N2
KC815687.1	N2
KC815699.1	N2
KC113255.1	N1
JF831950.1	N2
JX271008.1	N1
KC769466.1	N1
AB753223.1	N2
AB753248.1	N2
AB741656.1	N1
KC174873.1	N1
KC174895.1	N1
KC174917.1	N1
KC174928.1	N1
KC174961.1	N1
KC175013.1	N1
KC175024.1	N1
KC175035.1	N1
KC175090.1	N1
KC175210.1	N1
KC175221.1	N1
KC215536.1	N2
KC579482.1	N1
KC579527.1	N1
KC579549.1	N1
KC579560.1	N1
KC579582.1	N1
KC579676.1	N1
KC579687.1	N1
KC579720.1	N1
KC579941.1	N1
KC580138.1	N1
KC580161.1	N1
KC580304.1	N1
KC443330.1	N2
KC443583.1	N2
KC140594.1	N1
KC149928.1	N1
KC149935.1	N1
KC139786.1	N1
JN605444.1	N1
KC117140.1	N1
KC117141.1	N1
KC117142.1	N1
KC117144.1	N1
KC117145.1	N1
KC117146.1	N1
KC442888.1	N1
AB779638.1	N1
AB779639.1	N1
AB779640.1	N1
AB779641.1	N1
JN827252.1	N2
AB748593.1	N2
AB748594.1	N2
JX040428.1	N2
JX040429.1	N1
JX416215.1	N2
JX416223.1	N1
JX204818.1	N6
JX204829.1	N4
AB733137.2	N2
AB762776.1	N1
AB771758.1	N2
AB771762.1	N2
AB771768.1	N1
KC020023.2	N2
KC020024.2	N1
KC020026.2	N2
KC020027.1	N1
KC020032.1	N1
KC020033.1	N1
KC155672.1	N1
KC155681.1	N1
JX567765.1	N2
JQ715661.1	N2
JQ715662.1	N2
JQ715663.1	N1
JQ898159.1	N1
JN706599.1	N3
JX036372.1	N3
JQ423898.1	N1
JX402797.1	N2
JX070053.1	N2
JQ358771.1	N5
JQ309142.1	N1
JF990811.1	N2
JN128989.1	N1
JN128990.1	N1
JN128993.1	N1
JN128994.1	N1
JN128999.1	N1
JQ713649.1	N1
JQ993325.1	N1
JF693120.1	N2
JN104616.1	N1
JN104624.1	N1
JN831216.1	N2
JN903513.2	N2
JN903514.2	N2
JN872872.1	N2
JN013976.1	N2
JN013978.1	N2
JF896472.1	N2
JF781165.1	N1
JN635550.1	N1
JF796697.1	N1
JF796708.1	N1
JF796719.1	N1
JN258860.1	N1
JN258882.1	N1
JN258891.1	N1
JN258913.1	N1
JN258945.1	N1
HQ834203.1	N2
HQ661119.1	N2
HQ661141.1	N2
JF712562.1	N9
JF712573.1	N2
JF712584.1	N2
JF304922.1	N2
HQ650123.1	N2
JF804996.1	N2
JF421982.1	N2
HQ343343.1	N1
HQ343353.1	N1
HQ343355.1	N2
HQ343365.1	N1
JF490370.1	N1
JF490403.1	N1
JF490964.1	N1
HM348721.1	N1
HM348723.1	N1
GQ428137.1	N2
HM627549.1	N2
GU983677.1	N8
HM627560.1	N5
HQ392061.1	N1
HQ392147.1	N1
HQ392224.1	N1
HM363561.1	N2
AB573075.1	N2
AB573084.1	N2
GU937884.1	N2
FJ998277.1	N1
GU199195.1	N1
GU827413.1	N1
GU199489.1	N1
GU199499.1	N1
GU199517.1	N1
FN665694.1	N2
FN665683.1	N2
GU189556.1	N1
GU296412.1	N1
GU296413.1	N2
FJ947259.1	N1
FJ947281.1	N1
FJ947314.1	N1
FJ947369.1	N1
FJ947457.1	N1
GQ149101.1	N1
FJ361208.1	N1
GQ414547.1	N2
FJ816614.1	N1
EU753970.1	N1
FJ169860.1	N6
FJ347107.1	N2
FJ347118.1	N2
FJ347129.1	N2
FJ495134.1	N2
EU708941.1	N2
FJ206108.1	N2
FJ206138.1	N2
FJ206141.1	N1
EF672559.1	N2
EF672566.1	N2
EF672573.1	N1
EF672587.1	N1
EF672608.1	N2
EF672615.1	N1
EF554100.1	N2
EF554111.1	N2
EF554122.1	N2
EF554133.1	N2
EF554144.1	N2
EU542708.1	N1
EF990688.1	N1
EF990692.1	N1
EF990696.1	N1
EF990704.1	N2
DQ490534.1	N3
DQ838611.1	N5
DQ494401.1	N1
DQ205227.1	N2
AY740734.1	N2
AB022770.1	N1
AB009625.2	N4
Z21640.1	N2
