AB012070.1	𝜷.1
KC769365.1	𝜷.2.1
MK829380.1	𝜷.2.1
MZ066213.1	𝜷.2.1
KJ752243.1	𝜷.2.1
GQ996852.1	𝜷.2.1
MT854731.1	𝜷.2.1
LC031496.1	𝜷.2.1
AB905461.1	𝜷.2.1
MZ095984.1	𝜷.2.1
MN632980.1	𝜷.2.1
MK829356.1	𝜷.2.1
OM920789.1	𝜷.2.1
LC172416.1	𝜷.2.1
DQ674873.1	𝜷.2.1
MK531583.1	𝜷.2.1
JN706202.1	𝜷.2.1
ON855128.1	𝜷.2.1
MT855435.1	𝜷.2.1
JQ069486.1	𝜷.2.1
DQ512980.1	𝜷.2.1
GU723392.1	𝜷.2.1
OR205680.1	𝜷.2.1
AB905460.1	𝜷.2.1
AB796447.1	𝜷.2.1
KJ753175.1	𝜷.2.1
AB081794.1	𝜷.2.1
AB905456.1	𝜷.2.1
AB848004.1	𝜷.2.1
KX638514.1	𝜷.2.1
KC769310.1	𝜷.2.1
EU708570.1	𝜷.2.1
JF968566.1	𝜷.2.1
KP752904.1	𝜷.2.1
EF179189.1	𝜷.2.1
U26369.1	𝜷.2.1
GQ996881.1	𝜷.2.1
MH171396.1	𝜷.2.1
MK852655.1	𝜷.2.1
MK050138.1	𝜷.2.1
JN192068.1	𝜷.2.1
KY657861.1	𝜷.2.1
FJ348350.1	𝜷.2.1
MT855193.1	𝜷.2.1
JN192120.1	𝜷.2.1
MK829346.1	𝜷.2.1
MW383994.1	𝜷.2.1
MF161780.1	𝜷.2.1
KY657869.1	𝜷.2.1
JN232064.1	𝜷.2.1
MH171395.1	𝜷.2.1
JQ069509.1	𝜷.2.1
JN192116.1	𝜷.2.1
MG181595.1	𝜷.2.1
AB971567.1	𝜷.2.1
JN258895.1	𝜷.2.1
MF161695.1	𝜷.2.1
KX362978.1	𝜷.2.1
KX638523.1	𝜷.2.1
AB585921.1	𝜷.2.1
LC172404.1	𝜷.2.1
MT737574.1	𝜷.2.1
AB534523.1	𝜷.2.1
DQ674901.1	𝜷.2.1
KP882703.1	𝜷.2.1
GU723374.1	𝜷.2.1
KJ753087.1	𝜷.2.1
MG181342.1	𝜷.2.1
MT854357.1	𝜷.2.1
GQ996856.1	𝜷.2.1
JN192115.1	𝜷.2.1
AB012077.1	𝜷.2.1
AB585911.1	𝜷.2.1
ON855127.1	𝜷.2.1
JN258390.1	𝜷.2.1
KT007588.1	𝜷.2.1
MF161970.1	𝜷.2.1
DQ672628.1	𝜷.2.1
AF183856.1	𝜷.2.1
JN651823.1	𝜷.2.1
JN192054.1	𝜷.2.1
GU723332.1	𝜷.2.1
GU392994.1	𝜷.2.1
JX458963.1	𝜷.2.1
MT854665.1	𝜷.2.1
MT854467.1	𝜷.2.1
JF490960.1	𝜷.2.1
MZ097162.1	𝜷.2.1
KJ751795.1	𝜷.2.1
FJ386452.1	𝜷.2.1
AF043682.1	𝜷.2.1
OR205686.1	𝜷.2.1
KC579939.1	𝜷.2.1
KP752828.1	𝜷.2.1
GQ996835.1	𝜷.2.1
EU679389.1	𝜷.2.1
LC172361.1	𝜷.2.1
HQ392415.1	𝜷.2.1
MF161870.1	𝜷.2.1
MK531574.1	𝜷.2.1
HQ650885.1	𝜷.2.1
GU358426.1	𝜷.2.1
JN192058.1	𝜷.2.1
GU377201.1	𝜷.2.1
HQ392244.1	𝜷.2.1
JN706271.1	𝜷.2.1
JN192079.1	𝜷.2.1
KM043049.1	𝜷.2.1
JQ069513.1	𝜷.2.1
MF161693.1	𝜷.2.1
JF490717.1	𝜷.2.1
JN258805.1	𝜷.2.1
GU985244.1	𝜷.2.1
U26380.1	𝜷.2.1
KJ412899.1	𝜷.2.1
DQ512991.1	𝜷.2.1
OR205733.1	𝜷.2.1
KP222847.1	𝜷.2.1
MG816523.1	𝜷.2.1
JN706213.1	𝜷.2.1
DQ674895.1	𝜷.2.1
GU358442.1	𝜷.2.1
KJ753187.1	𝜷.2.1
KJ560489.1	𝜷.2.1
LC172313.1	𝜷.2.1
JQ069460.1	𝜷.2.1
GU377199.1	𝜷.2.1
KP793019.1	𝜷.2.1
JQ087439.1	𝜷.2.1
GU392984.1	𝜷.2.1
MK531579.1	𝜷.2.1
MT854643.1	𝜷.2.1
JN706275.1	𝜷.2.1
AB905458.1	𝜷.2.1
KX638519.1	𝜷.2.1
AB081799.1	𝜷.2.1
KU243672.1	𝜷.2.1
KX638525.1	𝜷.2.1
MT855072.1	𝜷.2.1
JN192131.1	𝜷.2.1
EF690722.1	𝜷.2.1
KJ919865.1	𝜷.2.1
MZ097290.1	𝜷.2.1
JF490627.1	𝜷.2.1
JN651802.1	𝜷.2.1
KP735841.1	𝜷.2.1
KP007144.1	𝜷.2.1
KJ919912.1	𝜷.2.1
KJ753297.1	𝜷.2.1
MG181452.1	𝜷.2.1
KT007562.1	𝜷.2.1
LC462859.1	𝜷.2.1
JQ069499.1	𝜷.2.1
GU723397.1	𝜷.2.1
JQ069511.1	𝜷.2.1
JX442769.1	𝜷.2.1
FJ948849.1	𝜷.2.1
KX363185.1	𝜷.2.1
JF490341.1	𝜷.2.1
KX362956.1	𝜷.2.1
KM977723.1	𝜷.2.1
MF161733.1	𝜷.2.1
GQ433991.1	𝜷.2.1
MK560888.1	𝜷.2.1
HQ650880.1	𝜷.2.1
KM043045.1	𝜷.2.1
JX458959.1	𝜷.2.1
KT920920.1	𝜷.2.1
KT007575.1	𝜷.2.1
LC086017.1	𝜷.2.1
MZ095185.1	𝜷.2.1
LC172273.1	𝜷.2.1
GU723403.1	𝜷.2.1
KJ919860.1	𝜷.2.1
AF260953.1	𝜷.2.1
MK829372.1	𝜷.2.1
KU973944.1	𝜷.2.1
GU723347.1	𝜷.2.1
JN232060.1	𝜷.2.1
JF968571.1	𝜷.2.1
EU708573.1	𝜷.2.1
KM008638.1	𝜷.2.1
JQ710666.1	𝜷.2.1
KX638516.1	𝜷.2.1
KP883000.1	𝜷.2.1
DQ674860.1	𝜷.2.1
MZ094954.1	𝜷.2.1
KP645327.1	𝜷.2.1
MK829375.1	𝜷.2.1
MF161791.1	𝜷.2.1
JQ710667.1	𝜷.2.1
HQ392388.1	𝜷.2.1
MG181485.1	𝜷.2.1
JF968575.1	𝜷.2.1
MT855446.1	𝜷.2.1
KY657863.1	𝜷.2.1
U26382.1	𝜷.2.1
LC066191.1	𝜷.2.1
KT007604.1	𝜷.2.1
KX638517.1	𝜷.2.1
GU598246.1	𝜷.2.1
JF490275.1	𝜷.2.1
KX638537.1	𝜷.2.1
KT007738.1	𝜷.2.1
JN706210.1	𝜷.2.1
KP882945.1	𝜷.2.1
DQ674909.1	𝜷.2.1
GU358432.1	𝜷.2.1
KP645272.1	𝜷.2.1
KT007712.1	𝜷.2.1
GU723394.1	𝜷.2.1
MK829359.1	𝜷.2.1
MT737585.1	𝜷.2.1
AB669009.1	𝜷.2.1
AF183848.1	𝜷.2.1
JQ710670.1	𝜷.2.1
GU723391.1	𝜷.2.1
JN258879.1	𝜷.2.1
LC668574.1	𝜷.2.1
AY098670.1	𝜷.2.1
KT007715.1	𝜷.2.1
KM977718.1	𝜷.2.1
LC541517.1	𝜷.2.1
MN633035.1	𝜷.2.1
JF490726.1	𝜷.2.1
EF179188.1	𝜷.2.1
OR205699.1	𝜷.2.1
MF184781.1	𝜷.2.1
LC465822.1	𝜷.2.1
JQ069500.1	𝜷.2.1
MK829350.1	𝜷.2.1
OM920761.1	𝜷.2.1
OR205716.1	𝜷.2.1
KJ752963.1	𝜷.2.1
AB081782.1	𝜷.2.1
JF490154.1	𝜷.2.1
HQ392058.1	𝜷.2.1
MN067063.1	𝜷.2.1
JX458958.1	𝜷.2.1
LC172354.1	𝜷.2.1
LC172411.1	𝜷.2.1
KM043051.1	𝜷.2.1
MK560896.1	𝜷.2.1
DQ674886.1	𝜷.2.1
JF968563.1	𝜷.2.1
MF168131.1	𝜷.2.1
KX009876.1	𝜷.2.1
MN561343.1	𝜷.2.1
GQ452920.3	𝜷.2.1
KX009882.1	𝜷.2.1
JN192080.1	𝜷.2.1
DQ674916.1	𝜷.2.1
KP793021.1	𝜷.2.1
OR205722.1	𝜷.2.1
JN887818.1	𝜷.2.1
DQ236014.1	𝜷.2.1
OQ541842.1	𝜷.2.1
LC582538.1	𝜷.2.1
KT695120.1	𝜷.2.1
KJ753152.1	𝜷.2.1
JN651834.1	𝜷.2.1
LC172339.1	𝜷.2.1
MN066827.1	𝜷.2.1
KP882505.1	𝜷.2.1
MF161900.1	𝜷.2.1
KX638511.1	𝜷.2.1
MT300317.1	𝜷.2.1
AB081788.1	𝜷.2.1
LC434530.1	𝜷.2.1
KP753022.1	𝜷.2.1
KC580125.1	𝜷.2.1
JQ069520.1	𝜷.2.1
HQ738579.1	𝜷.2.1
MF161931.1	𝜷.2.1
MK531580.1	𝜷.2.1
KM660406.1	𝜷.2.1
KP007201.1	𝜷.2.1
MK560887.1	𝜷.2.1
GU723358.1	𝜷.2.1
AB081774.1	𝜷.2.1
KC579635.1	𝜷.2.1
AF260946.1	𝜷.2.1
EF585216.1	𝜷.2.1
JN192125.1	𝜷.2.1
EF690723.1	𝜷.2.1
MT855105.1	𝜷.2.1
KJ753417.1	𝜷.2.1
JN192065.1	𝜷.2.1
JF968573.1	𝜷.2.1
EF690706.1	𝜷.2.1
EU839914.1	𝜷.2.1
JN192090.1	𝜷.2.1
MN066806.1	𝜷.2.1
KJ752524.1	𝜷.2.1
JX027688.1	𝜷.2.1
OK245379.1	𝜷.2.1
DQ512983.1	𝜷.2.1
LC668571.1	𝜷.2.1
KC580010.1	𝜷.2.1
KJ752322.1	𝜷.2.1
LC172322.1	𝜷.2.1
JX027950.1	𝜷.2.1
OR205695.1	𝜷.2.1
HQ392326.1	𝜷.2.1
MH182444.1	𝜷.2.1
JN706258.1	𝜷.2.1
MG181672.1	𝜷.2.1
KF006923.2	𝜷.2.1
LC172304.1	𝜷.2.1
GU358430.1	𝜷.2.1
OK245381.1	𝜷.2.1
HQ230028.1	𝜷.2.1
MZ094910.1	𝜷.2.1
AB971576.1	𝜷.2.1
GQ996873.1	𝜷.2.1
JN651873.1	𝜷.2.1
MT855270.1	𝜷.2.1
KJ753123.1	𝜷.2.1
JX458960.1	𝜷.2.1
GQ996867.1	𝜷.2.1
GU392982.1	𝜷.2.1
AF260954.1	𝜷.2.1
OR205681.1	𝜷.2.1
MZ065850.1	𝜷.2.1
GQ996841.1	𝜷.2.1
EF690753.1	𝜷.2.1
MK852650.1	𝜷.2.1
JQ289113.2	𝜷.2.1
MT737589.1	𝜷.2.1
JF968568.1	𝜷.2.1
MN632969.1	𝜷.2.1
GU358439.1	𝜷.2.1
HQ425257.1	𝜷.2.1
KF202505.1	𝜷.2.1
KU360939.1	𝜷.2.1
MF161668.1	𝜷.2.1
LC105044.1	𝜷.2.1
JQ710662.1	𝜷.2.1
FJ948837.1	𝜷.2.1
FJ948830.1	𝜷.2.1
JX458967.1	𝜷.2.1
JQ710674.1	𝜷.2.1
MH712900.1	𝜷.2.1
KJ753451.1	𝜷.2.1
HQ650871.1	𝜷.2.1
KT007721.1	𝜷.2.1
KM043037.1	𝜷.2.1
LC668575.1	𝜷.2.1
KJ753384.1	𝜷.2.1
DQ674899.1	𝜷.2.1
KT369143.1	𝜷.2.1
KU945821.1	𝜷.2.1
OR205676.1	𝜷.2.1
JQ837884.1	𝜷.2.1
DQ236050.1	𝜷.2.1
JN869254.1	𝜷.2.1
MG181529.1	𝜷.2.1
MN203565.1	𝜷.2.1
MN478525.1	𝜷.2.1
OR205719.1	𝜷.2.1
D16327.1	𝜷.2.1
GU723396.1	𝜷.2.1
KJ870788.1	𝜷.2.1
MN478492.1	𝜷.2.1
KJ559283.1	𝜷.2.1
GU377133.3	𝜷.2.1
MT854500.1	𝜷.2.1
AF480264.1	𝜷.2.1
KJ752546.1	𝜷.2.1
MN066870.1	𝜷.2.1
MK829373.1	𝜷.2.1
EF585215.1	𝜷.2.1
MN632684.1	𝜷.2.1
JQ069534.1	𝜷.2.1
LC463297.1	𝜷.2.1
KY616903.1	𝜷.2.1
MT737575.1	𝜷.2.1
FJ948836.1	𝜷.2.1
MK560897.1	𝜷.2.1
KF202507.1	𝜷.2.1
OR205690.1	𝜷.2.1
DQ674900.1	𝜷.2.1
KC579480.1	𝜷.2.1
FJ948833.1	𝜷.2.1
KT695131.1	𝜷.2.1
KJ626745.1	𝜷.2.1
LC172311.1	𝜷.2.1
DQ674892.1	𝜷.2.1
FJ948852.1	𝜷.2.1
DQ512981.1	𝜷.2.1
KP007181.1	𝜷.2.1
MN549968.1	𝜷.2.1
DQ236035.1	𝜷.2.1
KP222820.1	𝜷.2.1
MZ094867.1	𝜷.2.1
GU377197.1	𝜷.2.1
JQ069496.1	𝜷.2.1
LC541519.1	𝜷.2.1
JN258874.1	𝜷.2.1
EF690730.1	𝜷.2.1
OR205706.1	𝜷.2.1
JQ069495.1	𝜷.2.1
GU723389.1	𝜷.2.1
MT737579.1	𝜷.2.1
MK852652.1	𝜷.2.1
D17719.1	𝜷.2.1
JN192076.1	𝜷.2.1
KX356114.1	𝜷.2.1
KC443023.1	𝜷.2.1
MZ093903.1	𝜷.2.1
MK852644.1	𝜷.2.1
MK060164.1	𝜷.2.1
KT007704.1	𝜷.2.1
DQ236048.1	𝜷.2.1
MN632827.1	𝜷.2.1
AB749775.1	𝜷.2.1
MG181441.1	𝜷.2.1
KJ751905.1	𝜷.2.1
KT007678.1	𝜷.2.1
JX458955.1	𝜷.2.1
KP882241.1	𝜷.2.1
JN706206.1	𝜷.2.1
DQ512971.1	𝜷.2.1
DQ674869.1	𝜷.2.1
KT369144.1	𝜷.2.1
MZ095229.1	𝜷.2.1
MG181419.1	𝜷.2.1
JF968577.1	𝜷.2.1
MF168188.1	𝜷.2.1
MH712906.1	𝜷.2.1
KU861439.1	𝜷.2.1
KT007688.1	𝜷.2.1
OM920799.1	𝜷.2.1
KJ753517.1	𝜷.2.1
KX363066.1	𝜷.2.1
JN258786.1	𝜷.2.1
LC172291.1	𝜷.2.1
DQ236022.1	𝜷.2.1
JN706234.1	𝜷.2.1
HG917354.1	𝜷.2.1
JQ069463.1	𝜷.2.1
KF018787.2	𝜷.2.1
AF159610.1	𝜷.2.1
KT369146.1	𝜷.2.1
MN632936.1	𝜷.2.1
KX638550.1	𝜷.2.1
KX362880.1	𝜷.2.1
JN232049.1	𝜷.2.1
JN706201.1	𝜷.2.1
JN651758.1	𝜷.2.1
GQ996868.1	𝜷.2.1
KP753172.1	𝜷.2.1
MH291282.1	𝜷.2.1
FJ348346.1	𝜷.2.1
KJ919828.1	𝜷.2.1
JN706245.1	𝜷.2.1
KP883044.1	𝜷.2.1
U26388.1	𝜷.2.1
LC172329.1	𝜷.2.1
HQ650884.1	𝜷.2.1
MF161808.1	𝜷.2.1
MZ096255.1	𝜷.2.1
AB905455.1	𝜷.2.1
GQ996872.1	𝜷.2.1
DQ236034.1	𝜷.2.1
MN478522.1	𝜷.2.1
DQ674915.1	𝜷.2.1
MG181573.1	𝜷.2.1
JX027818.1	𝜷.2.1
KM977721.1	𝜷.2.1
AF480278.1	𝜷.2.1
KC579492.1	𝜷.2.1
MN549969.1	𝜷.2.1
HQ392360.1	𝜷.2.1
AB796445.1	𝜷.2.1
GU358440.1	𝜷.2.1
JN706235.1	𝜷.2.1
DQ236044.1	𝜷.2.1
GU985249.1	𝜷.2.1
JX470511.1	𝜷.2.1
EU839911.1	𝜷.2.1
HQ537517.2	𝜷.2.1
OR205729.1	𝜷.2.1
JF490135.1	𝜷.2.1
U26392.1	𝜷.2.1
JF490143.1	𝜷.2.1
KX638534.1	𝜷.2.1
KC443012.1	𝜷.2.1
LC311225.1	𝜷.2.1
JX470509.1	𝜷.2.1
JQ710671.1	𝜷.2.1
MZ065905.1	𝜷.2.1
OR205673.1	𝜷.2.1
JN192105.1	𝜷.2.1
AB905459.1	𝜷.2.1
MZ093863.1	𝜷.2.1
JN706291.1	𝜷.2.1
OR205711.1	𝜷.2.1
GU985238.1	𝜷.2.1
KY634615.1	𝜷.2.1
U26375.1	𝜷.2.1
GU358427.1	𝜷.2.1
KY657865.1	𝜷.2.1
KP753055.1	𝜷.2.1
JF490747.1	𝜷.2.1
DQ236037.1	𝜷.2.1
HQ392022.1	𝜷.2.1
KP007146.1	𝜷.2.1
MK829358.1	𝜷.2.1
DQ674924.1	𝜷.2.1
GU377158.2	𝜷.2.1
KJ753805.1	𝜷.2.1
D16328.1	𝜷.2.1
MZ065696.1	𝜷.2.1
MZ095643.1	𝜷.2.1
MZ096997.1	𝜷.2.1
OR205727.1	𝜷.2.1
KX632347.1	𝜷.2.1
GU723345.1	𝜷.2.1
GU723404.1	𝜷.2.1
HQ738578.1	𝜷.2.1
MK050128.1	𝜷.2.1
OR205741.1	𝜷.2.1
ON855118.1	𝜷.2.1
U26383.1	𝜷.2.1
JN706276.1	𝜷.2.1
MF161679.1	𝜷.2.1
KT920623.1	𝜷.2.1
AF480287.1	𝜷.2.1
KJ751751.1	𝜷.2.1
MK531576.1	𝜷.2.1
JQ710663.1	𝜷.2.1
MF184823.1	𝜷.2.1
MG181496.1	𝜷.2.1
KT223453.1	𝜷.2.1
HQ392051.1	𝜷.2.1
AF260938.1	𝜷.2.1
JF490619.1	𝜷.2.1
KY657868.1	𝜷.2.1
LC172439.1	𝜷.2.1
HQ392272.1	𝜷.2.1
KC769321.1	𝜷.2.1
KC580147.1	𝜷.2.1
KT007759.1	𝜷.2.1
LC172408.1	𝜷.2.1
KY616899.1	𝜷.2.1
KT007619.1	𝜷.2.1
KF636217.1	𝜷.2.1
LC172325.1	𝜷.2.1
KP883143.1	𝜷.2.1
FJ915077.2	𝜷.2.1
KC579740.1	𝜷.2.1
HQ392009.1	𝜷.2.1
MK050131.1	𝜷.2.1
JN129115.1	𝜷.2.1
JF490263.1	𝜷.2.1
GU358437.1	𝜷.2.1
HQ650873.1	𝜷.2.1
HQ392034.1	𝜷.2.1
LC463207.1	𝜷.2.1
MZ095535.1	𝜷.2.1
KT920689.1	𝜷.2.1
KP882868.1	𝜷.2.1
LC172321.1	𝜷.2.1
AF480285.1	𝜷.2.1
HM467957.1	𝜷.2.1
GU723405.1	𝜷.2.1
LC668577.1	𝜷.2.1
KJ626564.1	𝜷.2.1
JQ043277.1	𝜷.2.1
MT855380.1	𝜷.2.1
GU358443.1	𝜷.2.1
MK050134.1	𝜷.2.1
JN129112.1	𝜷.2.1
KY657867.1	𝜷.2.1
EF088837.1	𝜷.2.1
EU679394.1	𝜷.2.1
MK852660.1	𝜷.2.1
JN706249.1	𝜷.2.1
MN632838.1	𝜷.2.1
AF260936.1	𝜷.2.1
OR187597.1	𝜷.2.1
MK829339.1	𝜷.2.1
JQ069494.1	𝜷.2.1
MT737559.1	𝜷.2.1
GU985247.1	𝜷.2.1
JX027828.1	𝜷.2.1
MT737590.1	𝜷.2.1
AJ401265.1	𝜷.2.1
KC579718.1	𝜷.2.1
DQ674922.1	𝜷.2.1
MN066967.1	𝜷.2.1
AB585910.1	𝜷.2.1
KP882791.1	𝜷.2.1
MT737557.1	𝜷.2.1
AF183850.1	𝜷.2.1
MZ097151.1	𝜷.2.1
MN067074.1	𝜷.2.1
LC172342.1	𝜷.2.1
MT855215.1	𝜷.2.1
HQ738577.1	𝜷.2.1
MH712907.1	𝜷.2.1
EF690728.1	𝜷.2.1
JN258917.1	𝜷.2.1
MF168067.1	𝜷.2.1
JN232071.1	𝜷.2.1
JQ069502.1	𝜷.2.1
FJ948840.1	𝜷.2.1
AB669005.1	𝜷.2.1
KX638528.1	𝜷.2.1
AF183860.1	𝜷.2.1
KT000090.1	𝜷.2.1
AB605603.1	𝜷.2.1
AY631049.1	𝜷.2.1
AF260945.1	𝜷.2.1
FJ948829.1	𝜷.2.1
MZ065828.1	𝜷.2.1
MT737592.1	𝜷.2.1
KT695065.1	𝜷.2.1
JQ069471.1	𝜷.2.1
D16318.1	𝜷.2.1
LC541520.1	𝜷.2.1
HM773752.1	𝜷.2.1
AF260937.1	𝜷.2.1
JN232039.1	𝜷.2.1
MK852664.1	𝜷.2.1
MG181364.1	𝜷.2.1
MF161707.1	𝜷.2.1
GU392974.1	𝜷.2.1
MZ095962.1	𝜷.2.1
LC172276.1	𝜷.2.1
JF968584.1	𝜷.2.1
HQ425260.1	𝜷.2.1
KJ627041.1	𝜷.2.1
AB605604.1	𝜷.2.1
MF161662.1	𝜷.2.1
MN551945.1	𝜷.2.1
JN706211.1	𝜷.2.1
HQ738627.2	𝜷.2.1
KT695032.1	𝜷.2.1
DQ674904.1	𝜷.2.1
MK050139.1	𝜷.2.1
LC066147.1	𝜷.2.1
JN258857.1	𝜷.2.1
KJ412625.1	𝜷.2.1
AB585912.1	𝜷.2.1
JN192094.1	𝜷.2.1
MT382025.1	𝜷.2.1
LC215262.1	𝜷.2.1
KC579503.1	𝜷.2.1
DQ508167.1	𝜷.2.1
KC443493.1	𝜷.2.1
MF161634.1	𝜷.2.1
GU723354.1	𝜷.2.1
KP882813.1	𝜷.2.1
GU723360.1	𝜷.2.1
MT633136.1	𝜷.2.1
MN632914.1	𝜷.2.1
OR205737.1	𝜷.2.1
JF490707.1	𝜷.2.1
MN549967.1	𝜷.2.1
JQ069533.1	𝜷.2.1
GU392990.1	𝜷.2.1
DQ674861.1	𝜷.2.1
JF490671.1	𝜷.2.1
MN478533.1	𝜷.2.1
LC468240.1	𝜷.2.1
JN192063.1	𝜷.2.1
JX027741.1	𝜷.2.1
HQ650877.1	𝜷.2.1
KT007758.1	𝜷.2.1
JX027884.1	𝜷.2.1
HQ392261.1	𝜷.2.1
GU377203.1	𝜷.2.1
JN232046.1	𝜷.2.1
OR205691.1	𝜷.2.1
KF723265.1	𝜷.2.1
AF260948.1	𝜷.2.1
KP882978.1	𝜷.2.1
JF490220.1	𝜷.2.1
MT854544.1	𝜷.2.1
MZ097107.1	𝜷.2.1
JN635548.1	𝜷.2.1
KC580417.1	𝜷.2.1
GQ996864.1	𝜷.2.1
OR205723.1	𝜷.2.1
GU723381.1	𝜷.2.1
AB081787.1	𝜷.2.1
AB081784.1	𝜷.2.1
MN067126.1	𝜷.2.1
KU861417.1	𝜷.2.1
KT921030.1	𝜷.2.1
GU358419.1	𝜷.2.1
MT163256.1	𝜷.2.1
JN192091.1	𝜷.2.1
EF690713.1	𝜷.2.1
KP752653.1	𝜷.2.1
KT369147.1	𝜷.2.1
JF490638.1	𝜷.2.1
D17720.1	𝜷.2.1
MN478495.1	𝜷.2.1
DQ674912.1	𝜷.2.1
GU723376.1	𝜷.2.1
KX363077.1	𝜷.2.1
JN232063.1	𝜷.2.1
OR205701.1	𝜷.2.1
KJ560479.1	𝜷.2.1
MF161635.1	𝜷.2.1
AF043684.1	𝜷.2.1
KX638518.1	𝜷.2.1
GU377202.1	𝜷.2.1
JN192129.1	𝜷.2.1
LC465290.1	𝜷.2.1
JN232074.1	𝜷.2.1
JQ069487.1	𝜷.2.1
HQ425255.1	𝜷.2.1
KY497502.1	𝜷.2.1
JN651845.1	𝜷.2.1
GQ229043.1	𝜷.2.1
KX363174.1	𝜷.2.1
HQ650886.1	𝜷.2.1
OR205721.1	𝜷.2.1
MZ095709.1	𝜷.2.1
AF480277.1	𝜷.2.1
GQ996857.1	𝜷.2.1
HQ392088.1	𝜷.2.1
U26364.1	𝜷.2.1
KM008635.1	𝜷.2.1
MT855061.1	𝜷.2.1
MF184811.1	𝜷.2.1
KF723267.1	𝜷.2.1
JN192062.1	𝜷.2.1
JF490608.1	𝜷.2.1
KP222809.1	𝜷.2.1
GU358434.1	𝜷.2.1
KJ753576.1	𝜷.2.1
EF088833.1	𝜷.2.1
MK060165.1	𝜷.2.1
LC668579.1	𝜷.2.1
MK560893.1	𝜷.2.1
JF490170.1	𝜷.2.1
LC172294.1	𝜷.2.1
LC056828.1	𝜷.2.1
GU723375.1	𝜷.2.1
MN478527.1	𝜷.2.1
MF161542.1	𝜷.2.1
JN192055.1	𝜷.2.1
AF260934.1	𝜷.2.1
MG652302.1	𝜷.2.1
GU723363.1	𝜷.2.1
JX411970.1	𝜷.2.1
MT855259.1	𝜷.2.1
HQ392217.1	𝜷.2.1
KC579674.1	𝜷.2.1
AB012076.1	𝜷.2.1
AB749771.1	𝜷.2.1
OQ789861.1	𝜷.2.1
OQ440182.1	𝜷.2.1
AF260935.1	𝜷.2.1
KT369142.1	𝜷.2.1
MN561344.1	𝜷.2.1
MW462172.1	𝜷.2.1
MF161924.1	𝜷.2.1
KX009884.1	𝜷.2.1
U26381.1	𝜷.2.1
GU979206.1	𝜷.2.1
